timestamp,filename,url,drive,dest,expected_bytes,actual_bytes,status,seconds
2026-09-20T00:21:43,pm3071o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3071o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3071o.png,13168594,13168594,OK,13.8
2026-09-20T00:21:47,pm3070o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3070o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3070o.png,13174171,13174171,OK,24.2
2026-09-20T00:21:53,pm3068o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3068o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3068o.png,13187298,13187298,OK,33.0
2026-09-20T00:21:53,pm3073o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3073o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3073o.png,13187425,13187425,OK,10.4
2026-09-20T00:21:54,pm3072o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3072o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3072o.png,13185331,13185331,OK,14.2
2026-09-20T00:22:02,pm3074o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3074o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3074o.png,13193294,13193294,OK,14.2
2026-09-20T00:22:06,pm3076o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3076o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3076o.png,13144737,13144737,OK,12.7
2026-09-20T00:22:08,pm3077o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3077o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3077o.png,13162401,13162401,OK,14.1
2026-09-20T00:22:10,pm3075o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3075o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3075o.png,13200139,13200139,OK,16.9
2026-09-20T00:22:18,pm3078o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3078o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3078o.png,13210980,13210980,OK,16.1
2026-09-20T00:22:19,pm3079o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3079o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3079o.png,13213997,13213997,OK,13.1
2026-09-20T00:22:32,pm3082o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3082o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3082o.png,13223703,13223703,OK,14.4
2026-09-20T00:22:33,pm3083o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3083o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3083o.png,13192831,13192831,OK,14.3
2026-09-20T00:22:34,pm3081o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3081o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3081o.png,13211476,13211476,OK,24.0
2026-09-20T00:22:41,pm3080o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3080o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3080o.png,13245363,13245363,OK,33.1
2026-09-20T00:22:45,pm3084o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3084o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3084o.png,13201366,13201366,OK,12.6
2026-09-20T00:22:45,pm3085o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3085o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3085o.png,13186238,13186238,OK,11.9
2026-09-20T00:22:58,pm3087o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3087o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3087o.png,13189836,13189836,OK,17.0
2026-09-20T00:22:58,pm3089o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3089o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3089o.png,13163609,13163609,OK,12.9
2026-09-20T00:23:04,pm3088o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3088o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3088o.png,13198885,13198885,OK,18.9
2026-09-20T00:23:10,pm3091o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3091o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3091o.png,13198520,13198520,OK,11.8
2026-09-20T00:23:13,pm3090o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3090o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3090o.png,13175351,13175351,OK,14.6
2026-09-20T00:23:16,pm3086o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3086o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3086o.png,13171988,13171988,OK,42.1
2026-09-20T00:23:24,pm3093o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3093o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3093o.png,13200880,13200880,OK,14.0
