file,bytes,source,status,url
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4544o.png,10918116,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4544o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4437o.png,11457199,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4437o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4550o.png,10589243,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4550o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4431o.png,11396226,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4431o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4435o.png,11370010,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4435o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4548o.png,10612240,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4548o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4552o.png,10572957,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4552o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4441o.png,11539519,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4441o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4560o.png,10490494,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4560o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4558o.png,10517107,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4558o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4447o.png,11449232,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4447o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4445o.png,11510885,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4445o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4443o.png,11478699,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4443o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4556o.png,10552576,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4556o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4439o.png,11534695,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4439o.png
