subject,n_pairs,residual_median,residual_mean,frac_beat_control,wilcoxon_p,cliffs_delta
1,46,6.117228872315e-05,0.0001667673109240696,0.6304347826086957,0.07949890333343071,0.13185255198487714
3,46,0.00013458593690105001,0.0001131941593323826,0.6304347826086957,0.17548228152548873,0.11153119092627599
4,46,5.760576029979997e-05,3.496926450774132e-05,0.5869565217391305,0.24236948195053398,0.06427221172022685
5,46,4.021058405675001e-05,6.747089949613913e-05,0.6086956521739131,0.3174549723093276,0.14603024574669188
6,46,3.953411879545002e-05,3.081242109016957e-05,0.5869565217391305,0.11949132869492993,0.09357277882797732
7,46,4.088218844500006e-05,7.363872452836522e-05,0.5652173913043478,0.35874158121331245,0.07750472589792061
8,46,5.6076021560799976e-05,8.4682919516251e-05,0.5869565217391305,0.26618343812498924,0.09026465028355388
9,46,-2.976461030000004e-06,3.468224156699352e-05,0.5,0.5551958863021755,0.06427221172022685
10,46,0.00010161782265520001,0.00015626861763688482,0.6521739130434783,0.08528287673861011,0.11483931947069943
11,46,0.00010301730496245,0.0001240491933101087,0.6521739130434783,0.029276580057914017,0.12381852551984877
12,46,8.658985263409997e-05,7.770884210741739e-05,0.6086956521739131,0.13729805378395682,0.10255198487712665
13,46,4.234223204839998e-05,7.538273806331304e-05,0.6086956521739131,0.0967599865964776,0.15311909262759923
14,46,7.083138604729999e-05,6.0694285507932595e-05,0.6304347826086957,0.11818593544377566,0.1224007561436673
15,46,8.206428386895001e-05,0.00017359017189524784,0.6086956521739131,0.11564647551095938,0.12429111531190926
16,46,9.327686537365001e-05,5.803250112791741e-05,0.6086956521739131,0.2917246457006304,0.07986767485822306
18,46,0.00013114850367205002,0.00018975711116768693,0.6304347826086957,0.059468821653655225,0.16918714555765596
19,46,-1.0001765041178778e-16,4.592530142463028e-06,0.5,0.8227649175249421,0.008979206049149339
21,46,5.728304322785e-05,3.9976794939332606e-05,0.5652173913043478,0.4063146154069326,0.05718336483931947
22,46,4.25620772284e-05,8.460470881574682e-05,0.5652173913043478,0.2294201481681405,0.0831758034026465
23,46,5.0212510914699924e-05,6.883351879873911e-05,0.5869565217391305,0.09245830202655728,0.10396975425330812
24,46,9.580023271134997e-05,0.00022066019223091737,0.6739130434782609,0.00743253487405163,0.22306238185255198
26,46,5.997487841745002e-05,0.00010146836767026087,0.5652173913043478,0.15280779775356548,0.1767485822306238
27,46,8.49663909222e-05,0.00013601628771678262,0.6304347826086957,0.05312284160101692,0.18005671077504726
28,46,6.275272096035003e-05,0.0001859149666505131,0.5869565217391305,0.11929979249442628,0.11814744801512288
29,46,2.6474487518850015e-05,7.824042386307827e-05,0.5434782608695652,0.1828654024319437,0.09735349716446125
30,46,5.429828896180006e-05,0.00013091094325053045,0.6086956521739131,0.1219825523514489,0.11389413988657845
31,46,0.00011000301762075003,0.00021056809517905,0.6304347826086957,0.034972576279464145,0.12948960302457466
32,46,9.598787273149977e-06,4.070656274925435e-05,0.5652173913043478,0.47420459389718106,0.05387523629489603
33,46,7.338120813399991e-06,5.312161371488696e-05,0.5217391304347826,0.42287967713824304,0.09924385633270322
34,46,4.027023499505002e-05,4.9867650098473896e-05,0.5869565217391305,0.2050021314665723,0.10255198487712665
36,46,6.033807680049999e-05,0.00016834515383003695,0.6086956521739131,0.04157956223253964,0.06994328922495274
37,46,0.00016520117531730003,0.00023896903268599343,0.6086956521739131,0.019956927340069965,0.1843100189035917
38,46,4.975925941375005e-05,9.805501119775221e-05,0.6304347826086957,0.06171906885971041,0.07750472589792061
39,46,0.00010051843041784998,8.567203820147173e-05,0.6521739130434783,0.0482191827413588,0.08553875236294896
40,46,8.423925153089995e-05,5.5870350271534785e-05,0.5652173913043478,0.2490282340973592,0.10302457466918714
41,46,3.734082725754997e-05,4.969226883978912e-05,0.5217391304347826,0.3474175528576755,0.08081285444234404
42,46,0.0001826609335791,0.00020013284896493042,0.7391304347826086,0.009615129419226908,0.28166351606805295
43,46,9.751048626530003e-05,6.706254786623368e-05,0.5869565217391305,0.12746360205325857,0.0949905482041588
44,46,2.5335168063300012e-05,4.749534064012825e-05,0.5434782608695652,0.5370233746459043,0.08506616257088846
45,46,0.00011515001433665004,0.00011899373150532614,0.6956521739130435,0.008878301016871362,0.139413988657845
46,46,9.657941627630004e-05,6.398025718130215e-05,0.6086956521739131,0.1973139015843901,0.06852551984877127
