node,cis_mean,cis_median,cis_sd,degree_mean,strength_mean,cv,top50_rate,topdecile_rate
0,-0.0003108443130471876,-0.00031472656668295,0.00016546967984755906,47.903333333333336,19124.03868482559,-0.5323233300473474,0.0,0.0
1,3.224352802593234e-05,1.666605254668506e-05,0.0002244301667297568,66.92444444444445,19787.170787473966,6.960471774343536,0.021111111111111112,0.017777777777777778
2,-0.000361845830071931,-0.0003832504795734,0.00022319179004487576,45.29888888888889,14034.584994073402,-0.616814597533175,0.0,0.0
3,6.017139751214204e-05,-6.096363379039716e-06,0.00035502917330696056,69.92333333333333,18254.911673051392,5.9002979486278155,0.08444444444444445,0.07666666666666666
4,-7.291270844100623e-05,-9.758175954716603e-05,0.0003477555656188527,62.49888888888889,17282.620984858102,-4.769478093112152,0.05333333333333334,0.043333333333333335
5,-0.00018662728415469454,-0.00016141832065895,0.0002691102236660445,55.49333333333333,19424.853577848804,-1.4419661352569446,0.0044444444444444444,0.0044444444444444444
6,0.00012183064686123971,7.481439412511515e-05,0.00034807973768835837,69.59,10744.79115720715,2.857078630509181,0.11333333333333333,0.10555555555555556
7,-9.457044136670252e-07,-1.7511298203400506e-05,0.00025708430835272506,69.93222222222222,23703.206337118885,-271.8442513722288,0.02,0.017777777777777778
8,-9.996786456994663e-05,-0.000107520181174,0.0003373010660754533,59.06444444444445,15029.482504782876,-3.374094940674128,0.023333333333333334,0.017777777777777778
9,-0.0003357916481326677,-0.00036379235018515,0.00028899368055080313,44.06,8233.394809529756,-0.8606339143867712,0.0033333333333333335,0.0033333333333333335
10,-0.00020355763321265306,-0.0001962420157351,0.00033162472580403773,51.60666666666667,9438.317461157763,-1.629144142472885,0.0077777777777777776,0.006666666666666667
11,-0.00013931835839192254,-0.00011081082053124999,0.0003684178033010359,57.31666666666667,16841.288183337998,-2.6444311256139246,0.015555555555555555,0.014444444444444444
12,-9.270836878112632e-05,-9.468139474044275e-05,0.00020733100710722152,56.74444444444445,7830.465679169131,-2.2363785474071487,0.0,0.0
13,-0.0002669567735260915,-0.00026504760614465,0.0002484077443614637,51.742222222222225,18134.50039709462,-0.9305167315306392,0.0,0.0
14,7.911349098788782e-05,9.707635496504402e-05,0.0004913341803478264,70.71777777777778,15079.576747317024,6.210498035323066,0.13555555555555557,0.11444444444444445
15,-0.0001323335525971349,-0.00015697270453819998,0.00031178374804310055,55.82222222222222,7244.918905304289,-2.3560445701345953,0.022222222222222223,0.021111111111111112
16,-0.0001246890055192629,-0.0001276297855175,0.0002625043029726888,63.82111111111111,18431.345523116215,-2.105272248178571,0.01,0.0077777777777777776
17,-4.009686880152312e-05,-3.5465285031380985e-05,0.00046077857117124595,63.361111111111114,12767.683665029837,-11.49163475711956,0.09,0.07333333333333333
18,5.9827795580567586e-05,7.583011017658044e-05,0.00034753994448713613,70.19777777777777,21252.18861078306,5.809004679423942,0.07888888888888888,0.06777777777777778
19,2.974742540782095e-05,-5.306636454297472e-06,0.0003021602635845072,65.24777777777778,8600.451405902455,10.157526557073597,0.052222222222222225,0.044444444444444446
20,-5.986538364545195e-05,-9.997680916727937e-05,0.0003600977667026395,60.653333333333336,12876.989013044371,-6.0151250150719875,0.057777777777777775,0.051111111111111114
21,-3.571326412756937e-05,-0.0001364556341357,0.00047501606160525587,63.09888888888889,11606.906269034056,-13.300830187587371,0.08555555555555555,0.07444444444444444
22,-4.781158483837149e-05,-5.643529871032498e-05,0.00025148896619973916,67.63777777777777,20982.611563121634,-5.260000626415234,0.012222222222222223,0.01
23,0.0001664575712819552,0.0001766955897748,0.00040590499822290116,75.68888888888888,16414.796353337344,2.4384892504250013,0.15777777777777777,0.14666666666666667
24,0.00010671038785724173,0.00011227489153775,0.0004082321282893053,71.85222222222222,19577.13788894125,3.82560813887625,0.10666666666666667,0.09
25,-3.961233848486858e-06,-2.066585056566226e-05,0.00035348834303530925,64.80333333333333,10729.086932142782,-89.23692883477138,0.05444444444444444,0.04555555555555556
26,0.00012201942678396614,9.964060692837899e-05,0.00029506000433042023,74.05555555555556,17374.435170525132,2.4181395709457005,0.06555555555555556,0.05555555555555555
27,-0.00011913014844098638,-0.0001146644084363,0.00022135780663390395,59.54666666666667,10842.539753791185,-1.858117441560632,0.0033333333333333335,0.0011111111111111111
28,0.0001548811263552888,0.00015066940938014998,0.0004065057125164837,74.72555555555556,13932.042568996889,2.6246303993424083,0.14333333333333334,0.13111111111111112
29,0.0001786262843021399,0.0001985832682993,0.000333021780714435,76.6511111111111,14406.390113240886,1.864349258651883,0.12666666666666668,0.10555555555555556
30,-4.362872451164075e-06,-1.1793740562112217e-05,0.00028948288134939064,62.583333333333336,11113.04070915997,-66.35144267675132,0.016666666666666666,0.013333333333333334
31,0.00028604441203230796,0.0002901012242572,0.00024718859521937034,95.71555555555555,17247.736240893802,0.8641615945689267,0.12333333333333334,0.1
32,0.00010456982329927791,9.015146148553994e-05,0.00026717685792053864,79.76555555555555,19859.75193440175,2.555009174643825,0.05555555555555555,0.04666666666666667
33,-0.00014089165404172202,-0.0001721545181671,0.0003040219393929695,61.452222222222225,9588.074029072986,-2.1578420770256557,0.006666666666666667,0.0022222222222222222
34,7.119004800861397e-05,2.833609033105944e-05,0.0003274722867042815,79.04888888888888,16799.449845535182,4.599972831380272,0.06777777777777778,0.058888888888888886
35,-0.000213253050784931,-0.00026016665917455,0.0003075832526182728,57.041111111111114,12656.649849393194,-1.4423392841796916,0.013333333333333334,0.01
36,-0.0001603060857102979,-0.00016599860910769998,0.00022209500938833812,59.51444444444444,11840.926674598091,-1.3854434059958523,0.0011111111111111111,0.0011111111111111111
37,-0.0001900756669959477,-0.0002078921876711,0.00025088238600543054,58.07888888888889,12242.18656322774,-1.3199079607111373,0.0033333333333333335,0.0022222222222222222
38,-0.0002917768445359092,-0.00033217820515005,0.00023381333237983335,53.78333333333333,9693.297081980945,-0.8013430015384849,0.0011111111111111111,0.0011111111111111111
39,-0.00018375669222507135,-0.00018227892281725,0.00020434946896066977,61.60888888888889,11186.23457847173,-1.1120654518006652,0.0,0.0
40,-0.000349882575604236,-0.00039583190955775,0.0003052639336659768,47.717777777777776,7915.5814235437,-0.8724753816013722,0.0,0.0
41,-0.000478223935097625,-0.0005251552852515,0.00021448920854402975,42.971111111111114,8284.655956144838,-0.448512073115378,0.0,0.0
42,-0.00014396925600265823,-0.00014577330664125,0.0002970510533634266,62.92444444444445,11154.982392482187,-2.0632950507012544,0.008888888888888889,0.0077777777777777776
43,-0.00047481492949676124,-0.0004755416042647,0.00022824441914963623,42.56,7844.779278916245,-0.480701858704283,0.0,0.0
44,-0.00045959123882248774,-0.00049212146512365,0.0002759055414313697,43.39111111111111,6111.165338446837,-0.600328113604305,0.0,0.0
45,-0.00044533640851035137,-0.0004386125641399,0.0002517144607793086,46.04333333333334,8640.666265707488,-0.5652231795313851,0.0,0.0
46,0.0001744894252992515,0.00016871056960805,0.0004913197814788215,76.21111111111111,16682.222325363367,2.8157567751524315,0.22,0.20444444444444446
47,-0.00039950942034885873,-0.0003997142613014,0.00022498439046330867,45.653333333333336,8578.20733272372,-0.5631516530119572,0.0,0.0
48,0.0003867200881356847,0.00026120530503580004,0.0005335275048152646,84.59,18417.074943474938,1.3796219053096384,0.27666666666666667,0.26
49,-9.77317072244772e-05,-7.468701695523498e-05,0.0003122017826346481,59.156666666666666,10557.550040112137,-3.1944779386444218,0.016666666666666666,0.013333333333333334
50,-0.000429672155611673,-0.0004313314409291,0.00026322455119812805,43.26444444444444,8477.450208756783,-0.6126171960652341,0.0,0.0
51,-0.0002817340338278295,-0.0002669930531226,0.0003818102149003702,56.714444444444446,12830.683950644143,-1.355215093160162,0.006666666666666667,0.005555555555555556
52,-0.00046520461713969177,-0.000477315414071,0.0002257343203891974,38.736666666666665,5909.042879133721,-0.4852366293720895,0.0,0.0
53,-0.00013439502555424076,-0.0001642771114087,0.00045100224031608126,51.59444444444444,4897.355831736012,-3.3557956364542703,0.05,0.044444444444444446
54,-7.385841119819729e-05,-6.746211786601069e-05,0.0003733958039484322,53.361111111111114,7919.19146592795,-5.055562364406045,0.03222222222222222,0.02666666666666667
55,0.00023483671317637257,0.00023819856676419998,0.00040060392953015416,74.25666666666666,11700.337699314034,1.705882883947891,0.18333333333333332,0.16666666666666666
56,0.0002593814878882739,0.00029966302786925,0.0004219753486314686,83.39111111111112,25959.59049954133,1.6268522170449977,0.22111111111111112,0.19555555555555557
57,0.0002744297686778047,0.00024639509601620004,0.0004400795014376674,81.41555555555556,13002.209193688093,1.6036143001466594,0.22444444444444445,0.2088888888888889
58,-0.0001469599101337241,-0.0001720764886206,0.0002634413432585902,58.041111111111114,12056.817893493879,-1.792606861414623,0.01,0.008888888888888889
59,4.919593305553613e-05,8.529039874143054e-05,0.00039765252746554625,71.02888888888889,11966.028880250115,8.08303660013208,0.09444444444444444,0.07888888888888888
60,0.0002412233281695315,0.0002486738615613,0.0002072557238483874,81.97777777777777,20448.13839674743,0.859186072180914,0.04777777777777778,0.04
61,-0.00015416771172051296,-0.0001103809806973,0.0003144316637871451,50.833333333333336,7584.045975732315,-2.039542912572841,0.0,0.0
62,0.00014269229600450382,0.0001418919012191,0.0004335165065091522,67.85666666666667,8759.139830964283,3.0381213187253575,0.14444444444444443,0.13
63,0.0006042955490899751,0.0005133431849139,0.0006730675454460002,92.57111111111111,20094.64269895975,1.113805233977961,0.4722222222222222,0.45111111111111113
64,0.00016590700868239754,0.0001908172067805,0.0002343589348643102,73.86333333333333,12854.596130685897,1.4125921305286924,0.04111111111111111,0.02666666666666667
65,0.00028129088320988935,0.0001680294564948,0.0005348826793238585,77.23555555555555,10244.032841545906,1.901528671033209,0.20777777777777778,0.19555555555555557
66,8.440990431760067e-05,9.56997682020304e-05,0.000303004860732216,64.77444444444444,6927.748766351003,3.589683736545063,0.06,0.05555555555555555
67,-8.758846949774838e-05,-3.3773133521929214e-05,0.00030616213777858315,53.702222222222225,7716.223044448437,-3.4954616690322875,0.0044444444444444444,0.0033333333333333335
68,-0.0001539516565874566,-0.0001739453074512,0.00024529247757483784,58.92333333333333,20175.622415957343,-1.5933084645665538,0.0077777777777777776,0.0077777777777777776
69,9.291348038005706e-05,8.078007214291294e-05,0.0003386683018786215,76.32333333333334,24515.929797750472,3.6449856414087494,0.08222222222222222,0.07111111111111111
70,-8.053500680540619e-06,-4.626354358638764e-05,0.0004207041535963783,72.21555555555555,20230.816577574893,-52.23866865907275,0.09111111111111111,0.08
71,-0.00016626824531556348,-0.00018516312686145,0.00028213309970144003,63.638888888888886,15615.607203637834,-1.6968549777257502,0.0077777777777777776,0.006666666666666667
72,-0.00046287036891765445,-0.00045689306257720003,0.0002659915794908155,34.42888888888889,6484.672782342831,-0.5746567448523281,0.0,0.0
73,-0.0002375772531936862,-0.00026145410258705,0.00036890694044941475,56.85111111111111,10054.571536567848,-1.5527872954598951,0.017777777777777778,0.014444444444444444
74,-6.603445263744852e-05,-8.012721337062588e-05,0.00035330649663982443,57.96666666666667,11131.179981558571,-5.350335809999011,0.043333333333333335,0.03333333333333333
75,-0.0004578615431625155,-0.000475394518395,0.0002776497830177547,47.095555555555556,7529.565171384116,-0.6064055546137107,0.0,0.0
76,-0.00034410321887685323,-0.00038679013896475,0.00040461040704965734,51.13444444444445,17436.84440201053,-1.175840227157126,0.024444444444444446,0.022222222222222223
77,-0.00020296911623032823,-0.00020339709054209999,0.00041128964898203365,52.27777777777778,8716.539339175679,-2.0263656689291807,0.028888888888888888,0.022222222222222223
78,-0.0002486698936470979,-0.00029349039189785,0.0003628916128029972,58.70111111111111,12848.76367680033,-1.4593307114129306,0.022222222222222223,0.01888888888888889
79,-0.00017990654352809885,-0.0002204630026239,0.00047234122662236197,57.11888888888889,10248.301844779982,-2.625481082340893,0.07555555555555556,0.06555555555555556
80,0.0005181511050683725,0.00045950503045594996,0.0005890660322203371,91.55111111111111,14170.23166267568,1.1368614800939334,0.40444444444444444,0.3788888888888889
81,-0.00012379378309342967,-0.00010300625853039999,0.00037462149595164087,55.193333333333335,7237.865617347939,-3.026173743061931,0.017777777777777778,0.015555555555555555
82,0.00037274340863159355,0.00033957393547605,0.0005243353373193266,83.9,9107.32037807501,1.4066924462708907,0.32222222222222224,0.3055555555555556
83,9.797589518706458e-05,9.524805112221933e-05,0.00036091115084098207,67.31777777777778,7581.342777355876,3.683672909054797,0.09222222222222222,0.07888888888888888
84,-0.00027462747592030636,-0.00024584378375060005,0.00031250774671471855,40.33444444444444,3620.0779426279996,-1.137933288238809,0.0,0.0
85,9.256720264125824e-05,0.00010110574595850001,0.0002711259597313978,73.48666666666666,17838.241220255288,2.92896352050455,0.051111111111111114,0.03888888888888889
86,-7.704205780535311e-05,-6.881373443371825e-05,0.0002412031154957999,62.62888888888889,19363.536733283385,-3.130797935138233,0.0033333333333333335,0.0033333333333333335
87,-0.0003105755227960829,-0.00032600403062645,0.00023491803984217345,43.117777777777775,10538.083137733762,-0.7563958605856248,0.0,0.0
88,0.00017412152105369345,0.0002131111658921,0.0003554372878470056,77.57666666666667,22233.585843473673,2.0413173839516383,0.1322222222222222,0.11555555555555555
89,9.037362486282122e-07,-5.326784746305548e-06,0.00021890655899355212,69.92,17179.11894884968,242.22394456992512,0.015555555555555555,0.012222222222222223
