node,cis,degree,strength,cis_rank,e0
0,-0.0002339785777390883,52,12648.07172049582,318,0.5446806117858749
1,-0.0001391761285146136,58,23810.48465232551,283,0.5446806117858749
2,-0.0003228558738870078,48,9447.10698401928,357,0.5446806117858749
3,-8.58497508258211e-05,62,19169.890251785517,261,0.5446806117858749
4,-0.00030211783811906484,50,16560.690002061427,350,0.5446806117858749
5,-0.0007272475713597565,31,7195.963374823332,447,0.5446806117858749
6,0.0005925802764360743,88,19249.286295101047,46,0.5446806117858749
7,-9.473748044065382e-05,70,18149.29175668955,264,0.5446806117858749
8,-0.00016880189389718552,51,13202.367440357804,290,0.5446806117858749
9,-0.000702065670784499,20,2273.3061865717173,440,0.5446806117858749
10,-0.0005065356192591983,34,4506.664418339729,409,0.5446806117858749
11,-0.0005154233488738272,39,7455.985311679542,412,0.5446806117858749
12,-0.00012436324582322574,57,10754.227262720466,274,0.5446806117858749
13,-0.0008857454161568932,32,10605.354647278786,453,0.5446806117858749
14,-5.62239854432492e-05,62,9162.186569981277,246,0.5446806117858749
15,-0.00030211783811906484,43,4889.304166764021,349,0.5446806117858749
16,-2.3635643522399715e-05,64,17589.755066379905,228,0.5446806117858749
17,-0.00012436324582322574,56,10813.933498427272,278,0.5446806117858749
18,-0.00012140066928515198,55,7143.860464259982,273,0.5446806117858749
19,1.191527493672734e-05,54,9176.20235864073,215,0.5446806117858749
20,-0.0003139681442721751,45,11768.871297866106,354,0.5446806117858749
21,-0.00013917612851481744,45,6989.659915268421,284,0.5446806117858749
22,-0.0007746487959719938,36,13844.678060337901,451,0.5446806117858749
23,0.0002133704795385832,82,11980.057286977768,139,0.5446806117858749
24,0.00013338091300549637,75,19684.91072103381,167,0.5446806117858749
25,0.00046815206182902774,90,18371.436537206173,74,0.5446806117858749
26,-4.141110275206516e-05,62,17189.070846110582,241,0.5446806117858749
27,0.0001511563722351618,79,26433.334731288254,160,0.5446806117858749
28,-4.733625582862031e-05,61,10008.830239862204,243,0.5446806117858749
29,0.0002429962449211551,85,15157.856876194477,126,0.5446806117858749
30,-7.399944467291464e-05,56,5878.002955287695,252,0.5446806117858749
31,0.0005007404037500811,111,18570.69970165938,65,0.5446806117858749
32,0.0004888900975969707,97,16895.539689689875,68,0.5446806117858749
33,0.0001600441018497907,86,19363.189908221364,156,0.5446806117858749
34,0.00025632783934330226,90,14673.185761213303,123,0.5446806117858749
35,-0.00016287674082083418,58,12876.468372032046,289,0.5446806117858749
36,3.561588724294793e-05,72,15882.559743851423,210,0.5446806117858749
37,-5.918656198152677e-05,62,6091.265464112163,247,0.5446806117858749
38,-0.0003554442158078573,51,5315.168483182788,368,0.5446806117858749
39,-6.214913851980434e-05,73,12978.662782505155,249,0.5446806117858749
40,-0.0006902153646313887,22,1592.69440869987,438,0.5446806117858749
41,-0.00041173317003472356,55,7383.3779931515455,381,0.5446806117858749
42,-8.584975082602493e-05,66,9107.1577924788,262,0.5446806117858749
43,-0.0004769098538766264,45,6862.132886439562,400,0.5446806117858749
44,-0.0005213485019503823,45,9103.80035597086,413,0.5446806117858749
45,-0.000586525185792285,49,5603.212728336453,422,0.5446806117858749
46,-0.0006487392930957065,43,6997.2443987727165,434,0.5446806117858749
47,-0.0004857975834914591,52,14812.620455160737,404,0.5446806117858749
48,0.0013687753294609258,116,19042.68703582883,10,0.5446806117858749
49,-0.0007050282473227765,42,12087.284068658948,441,0.5446806117858749
50,-0.0005983754919453954,50,12374.94780485332,423,0.5446806117858749
51,-0.0011375644219090602,20,3752.2688905596733,455,0.5446806117858749
52,-0.0004828350069531815,48,16108.23587346077,403,0.5446806117858749
53,0.000257809127612543,74,7775.479975566268,120,0.5446806117858749
54,9.486741800809175e-05,67,6779.863804250956,184,0.5446806117858749
55,0.000986602956025157,114,25778.491446644068,20,0.5446806117858749
56,-0.00021027796543286772,59,14706.000148132443,308,0.5446806117858749
57,-0.00037914482811387406,39,4083.8043668866158,374,0.5446806117858749
58,-0.0004769098538766264,47,16919.930908724666,401,0.5446806117858749
59,-0.0005035730427209207,43,11306.878035157919,407,0.5446806117858749
60,5.6353923010687115e-05,66,18430.558285534382,199,0.5446806117858749
61,-0.0002873049554278808,54,8589.688748568296,342,0.5446806117858749
62,-0.00023990373081564343,50,9963.83467952907,325,0.5446806117858749
63,0.00041038181933292076,84,19014.88261473179,81,0.5446806117858749
64,-0.00012436324582322574,47,4592.625419139862,277,0.5446806117858749
65,-4.141110275206516e-05,69,21241.138236179948,240,0.5446806117858749
66,-0.00031989329734852647,49,8464.985908821225,355,0.5446806117858749
67,-0.0005391239611800477,34,2448.4105590432882,417,0.5446806117858749
68,-0.00010066263351720897,63,14135.805206306279,267,0.5446806117858749
69,0.00018670729069428886,86,27888.405073560774,150,0.5446806117858749
70,-0.00021916569504770042,58,12647.081114947796,311,0.5446806117858749
71,0.00014819379569668042,88,35000.54278795421,161,0.5446806117858749
72,-0.00017176447043546308,45,5937.821762762964,293,0.5446806117858749
73,9.486741800809175e-05,83,22253.75330261886,183,0.5446806117858749
74,-0.00012436324582322574,60,12740.88076543808,276,0.5446806117858749
75,-0.00034063133311646945,64,10582.542312815785,362,0.5446806117858749
76,-0.00018657735312685095,73,21558.135775759816,300,0.5446806117858749
77,-0.00026064176658338264,52,10891.226596683264,332,0.5446806117858749
78,-0.0002784172258130481,69,12085.628711819649,338,0.5446806117858749
79,0.00031409808183940923,97,10155.787150427699,99,0.5446806117858749
80,0.0002133704795385832,80,13476.604894183576,140,0.5446806117858749
81,-0.00041765832311127873,37,3742.102044031024,385,0.5446806117858749
82,-0.00030211783811906484,43,10664.0013410002,351,0.5446806117858749
83,-0.0005243110784886599,27,4381.1434683948755,414,0.5446806117858749
84,-0.0004828350069531815,32,4655.123217195272,402,0.5446806117858749
85,-0.00037914482811387406,46,13730.510110259056,375,0.5446806117858749
86,-0.0004087705934966498,45,21971.968897402287,380,0.5446806117858749
87,-0.0003732196750375228,50,21070.893510609865,372,0.5446806117858749
88,-0.00038210740465215165,41,11945.16821756959,376,0.5446806117858749
89,-6.511171505808191e-05,71,16785.85364678502,251,0.5446806117858749
90,-0.00026360434312186406,49,13798.695067435503,334,0.5446806117858749
91,-0.0002339785777390883,53,14284.477786108851,320,0.5446806117858749
92,-0.0003050804146573424,46,11575.732227310538,352,0.5446806117858749
93,-0.00022805342466253315,58,14866.172479823232,314,0.5446806117858749
94,-0.0002873049554278808,48,12001.94814671576,341,0.5446806117858749
