node,cis,degree,strength,cis_rank,e0
0,-0.00016208288665403784,53,18865.597845867276,297,0.5499028018764861
1,0.00012842689359422531,73,25431.956290587783,162,0.5499028018764861
2,-0.0004936748580485179,39,12368.16795566678,407,0.5499028018764861
3,-0.00013860734885608417,60,20239.295286290348,292,0.5499028018764861
4,-0.0001972961933507664,55,16332.455033183098,314,0.5499028018764861
5,-0.00013273846440679766,61,16054.981926627457,286,0.5499028018764861
6,4.626251130179133e-05,68,12310.119731426239,196,0.5499028018764861
7,0.000260476793706907,88,20710.992321550846,116,0.5499028018764861
8,-0.00020609952002499903,54,12208.495922617614,318,0.5499028018764861
9,-0.0006492002959591533,27,1567.4907356351614,440,0.5499028018764861
10,-0.00039683826463236295,39,5476.007045269012,385,0.5499028018764861
11,-0.00014447623330557258,65,10277.620409220457,293,0.5499028018764861
12,-0.000288263902317433,51,8264.256798744202,351,0.5499028018764861
13,0.00022232904478563612,89,23435.43575464189,130,0.5499028018764861
14,5.800028020076816e-05,74,9460.977517321706,191,0.5499028018764861
15,-0.00024424726894626994,42,4478.772013574839,339,0.5499028018764861
16,0.0004130677893927981,90,22665.025638639927,75,0.5499028018764861
17,7.26724913242873e-05,76,12861.122719332576,181,0.5499028018764861
18,0.00022819792923492265,90,14037.48040098697,128,0.5499028018764861
19,-0.00022370617337346427,48,8852.226219832897,330,0.5499028018764861
20,-0.00021196840447448745,53,12840.664246737957,322,0.5499028018764861
21,-0.00031467388233992895,49,5068.3630528301,359,0.5499028018764861
22,-1.8295217642379308e-05,73,22692.839239344,229,0.5499028018764861
23,0.0001577713158414655,82,11766.501610577106,151,0.5499028018764861
24,0.00036905115602183696,102,21363.163336083293,89,0.5499028018764861
25,0.0002575423514823647,91,12598.85433202982,119,0.5499028018764861
26,-7.698406213685964e-05,71,13830.81786108017,253,0.5499028018764861
27,-0.0002354439422722392,54,12075.472654506564,332,0.5499028018764861
28,-0.00026185392229473515,53,6765.0051292181015,343,0.5499028018764861
29,0.0006507576095958675,121,24062.437785461545,39,0.5499028018764861
30,-0.0004701993202505643,37,10585.15947200358,403,0.5499028018764861
31,0.00038665780937030217,92,13657.14768613875,84,0.5499028018764861
32,0.0005304454783821626,97,21036.22424892336,55,0.5499028018764861
