node,cis,degree,strength,cis_rank,e0
0,-0.00029303603774098893,38,17671.570302456617,342,0.5446549064970118
1,0.00045653120100909667,94,28994.915941908956,67,0.5446549064970118
2,-8.860860899107675e-05,58,12219.337990358472,274,0.5446549064970118
3,0.0006728094951940611,113,21471.948754400015,40,0.5446549064970118
4,-5.652550947545513e-06,67,18418.31588962674,230,0.5446549064970118
5,-0.00012416120529521433,56,14221.069474205375,288,0.5446549064970118
6,-0.000248595292360715,45,6387.586438640952,330,0.5446549064970118
7,-0.00016563923431718377,59,20430.54320640862,301,0.5446549064970118
8,-0.00014193750344748695,53,17875.470934048295,295,0.5446549064970118
9,-4.416786361059903e-05,56,21783.80241471529,253,0.5446549064970118
10,0.00011285610340053098,70,10168.238535359502,184,0.5446549064970118
11,-0.0002663715905127838,43,4808.094519287348,336,0.5446549064970118
12,0.00026395463769403294,77,5596.955887749791,127,0.5446549064970118
13,-0.00034932764855631507,43,17104.876465275884,369,0.5446549064970118
14,-7.379502719751623e-05,56,4575.148665994406,264,0.5446549064970118
15,0.00018099857965029784,78,13390.08535411954,156,0.5446549064970118
16,-0.00013897478708877484,62,30475.029285669327,294,0.5446549064970118
17,0.00036764971024834506,84,7088.967730946839,90,0.5446549064970118
18,-0.00018045281611054047,48,11511.8317091465,309,0.5446549064970118
19,0.00039727687383526224,90,10416.827251687646,81,0.5446549064970118
20,4.175091079164431e-05,59,10781.362203672528,218,0.5446549064970118
21,0.00022840204138969153,71,8151.465312823653,138,0.5446549064970118
22,0.0003054326667155947,88,22815.605721965432,108,0.5446549064970118
23,0.0006965112260635541,105,11399.355218440294,39,0.5446549064970118
24,0.0003380225466614279,81,12285.154687389731,100,0.5446549064970118
25,-0.00029303603774098893,46,11356.564957082272,341,0.5446549064970118
26,0.0003528361284549884,85,18096.96529570222,97,0.5446549064970118
27,0.00010100523796547872,70,8612.878947809339,188,0.5446549064970118
28,0.0005454126917700522,101,11625.846081390977,55,0.5446549064970118
