node,cis,degree,strength,cis_rank,e0
0,-0.00025556981851129453,50,30517.802655555308,330,0.547514619883041
1,-3.452667974513521e-05,66,25495.4876986593,242,0.547514619883041
2,-0.0003734594925198453,43,20768.523541763425,376,0.547514619883041
3,-1.3895986793735148e-05,67,13424.832997977734,234,0.547514619883041
4,-0.00022315015815877582,52,15429.778376027942,318,0.547514619883041
5,-0.00025556981851129453,55,29896.21026068926,333,0.547514619883041
6,6.273230131181268e-05,53,7290.101198121905,181,0.547514619883041
7,-0.00044419329692493517,47,21623.803354263306,404,0.547514619883041
8,-0.00011999669340157274,57,10939.70379370451,282,0.547514619883041
9,0.00035156200263263015,85,11830.370007619262,92,0.547514619883041
10,0.0002248306030735953,69,10689.673601411283,121,0.547514619883041
11,-0.0003204091392159265,48,18652.822149828076,356,0.547514619883041
12,-8.168254934879883e-05,56,6992.089286796749,261,0.547514619883041
13,-0.00037051225066941354,44,19993.924589440227,373,0.547514619883041
14,0.00043408477443883874,89,17336.791602119803,72,0.547514619883041
15,0.0005460799647467287,94,17489.72038026154,49,0.547514619883041
16,-0.000523768826880712,42,20845.46431222558,425,0.547514619883041
17,0.0007347034431605721,107,16156.283216103911,28,0.547514619883041
18,-1.0948744943708947e-05,73,26859.584808513522,233,0.547514619883041
19,0.00048713512774255474,92,12764.312714524567,59,0.547514619883041
20,7.746851056275479e-05,56,9687.143070489168,173,0.547514619883041
21,0.0004164013233374649,86,11131.15764118731,75,0.547514619883041
22,9.681948007893887e-06,73,21275.43497721851,220,0.547514619883041
23,0.0006403917039538531,98,18790.12167826295,34,0.547514619883041
24,0.0005770260041740316,102,21352.288247853518,41,0.547514619883041
25,0.0004665044347911547,91,15506.475570201874,63,0.547514619883041
26,0.0004606099510906967,85,16549.58308635652,64,0.547514619883041
27,0.00023072508677405323,73,8736.280286386609,119,0.547514619883041
28,0.0003869289048353779,86,17761.657639928162,84,0.547514619883041
29,0.0005048185788439286,91,12994.183448180556,56,0.547514619883041
30,0.00016293852421919234,63,8402.507660284638,138,0.547514619883041
31,0.0005195547880950734,104,9197.91497668624,54,0.547514619883041
32,9.809920351435763e-05,84,14943.571948125958,161,0.547514619883041
33,-9.641875859974094e-05,67,4957.8444487303495,268,0.547514619883041
34,-1.97904704941931e-05,79,15747.98462510109,237,0.547514619883041
35,-0.000520821585030483,40,15420.345906168222,424,0.547514619883041
36,-0.0003823012180703294,51,8176.806506454945,379,0.547514619883041
37,-0.00010820772600065684,72,17960.931951627135,279,0.547514619883041
38,-0.0004707184735767932,40,5787.385826125741,411,0.547514619883041
39,-0.00031156741366544235,57,10063.459807813168,352,0.547514619883041
40,-0.000509032617629567,40,9233.14960667491,421,0.547514619883041
41,-0.0005502940035327727,36,4914.404026687145,429,0.547514619883041
42,9.681948007893887e-06,82,13943.76556250453,221,0.547514619883041
43,-0.0005665038337089308,49,6958.0145609378815,431,0.547514619883041
44,-0.00025851706036152355,66,7652.836386933923,335,0.547514619883041
45,-0.0003056729299647816,58,7197.342575460672,350,0.547514619883041
46,0.00028377544007776926,98,17934.347183719277,107,0.547514619883041
47,-0.00057092469648397,34,5199.3185752779245,432,0.547514619883041
48,0.0001364133475673343,68,16986.92726998031,150,0.547514619883041
49,-2.107019393022018e-06,68,19066.194487810135,228,0.547514619883041
50,-0.0006917616123429525,25,9205.109551295638,443,0.547514619883041
51,5.3890575761125755e-05,77,14318.836909398437,191,0.547514619883041
52,-0.00017599428855551773,50,5311.233451932669,294,0.547514619883041
53,-0.0003970374273214743,38,5502.74219802022,388,0.547514619883041
54,-0.00047366571542702216,33,13599.831239253283,414,0.547514619883041
55,-6.989358194788293e-05,57,6452.44544878602,256,0.547514619883041
56,0.0007523868942619459,95,31913.1894736439,25,0.547514619883041
57,0.00035598286540807503,78,9883.927807927132,89,0.547514619883041
58,-0.0003204091392159265,38,4448.685955271125,354,0.547514619883041
59,0.0006050248017511055,99,19220.763254642487,40,0.547514619883041
60,2.4418157259038767e-05,66,15595.80964782834,206,0.547514619883041
61,0.00038987614668560685,86,17525.032536894083,82,0.547514619883041
62,9.681948007893887e-06,57,16853.584118306637,219,0.547514619883041
63,0.00010104644536458661,66,23964.48946161568,159,0.547514619883041
64,0.00045766270924046774,88,11857.47199961543,65,0.547514619883041
65,7.157402686249961e-05,64,9184.486035704613,175,0.547514619883041
66,0.0005608161739980764,92,14266.392897546291,46,0.547514619883041
