node,cis,degree,strength,cis_rank,e0
0,-0.00015601874214236065,55,21371.355577543378,310,0.5521560311033995
1,-0.0001589412095436618,55,17611.423055440187,312,0.5521560311033995
2,0.00020052228081456988,73,12577.27290378511,135,0.5521560311033995
3,0.0003904826618981392,89,14760.445685744286,71,0.5521560311033995
4,0.0005190712275547865,105,18043.646865695715,47,0.5521560311033995
5,-0.00014432887253715607,58,17730.470103532076,298,0.5521560311033995
6,-0.00019985575316167683,54,10845.582310765982,323,0.5521560311033995
7,-8.003458970893293e-05,67,16343.026703611016,265,0.5521560311033995
8,0.0003291108464712172,88,13357.421988680959,91,0.5521560311033995
9,-0.0002904522426016103,48,7485.36448803544,354,0.5521560311033995
10,5.439891075031671e-05,74,9285.480493932962,197,0.5521560311033995
11,-3.912004609091791e-05,48,7754.723185092211,247,0.5521560311033995
12,-0.00019693328576037567,48,10682.791256144643,322,0.5521560311033995
13,-0.00036643639503503803,48,18011.151621744037,381,0.5521560311033995
14,0.00024143682443278597,77,9063.737456545234,119,0.5521560311033995
15,-0.00041319587345565534,39,6693.460434526205,396,0.5521560311033995
16,-0.000325521851417023,53,12767.854924246669,372,0.5521560311033995
17,0.0004460095425224589,98,16423.528221815825,62,0.5521560311033995
18,8.654605216442828e-05,59,31051.46953034401,178,0.5521560311033995
19,-7.126718750502948e-05,61,4368.166244760156,260,0.5521560311033995
20,-6.24997853013271e-05,58,10397.616288334131,256,0.5521560311033995
21,6.608878035532023e-05,58,10635.459424614906,188,0.5521560311033995
22,-0.00015601874214236065,60,24329.421941503882,309,0.5521560311033995
23,0.000285273835451901,81,18095.006045117974,105,0.5521560311033995
24,0.0005132262927521842,103,23745.87996774912,48,0.5521560311033995
25,8.362358476312713e-05,62,7585.662963613868,180,0.5521560311033995
26,-0.00015309627474105952,55,8921.31832177937,307,0.5521560311033995
27,0.00034664565087882303,87,22206.348027780652,81,0.5521560311033995
28,0.0004167848685096485,96,12287.768824532628,65,0.5521560311033995
29,0.0007587135544602743,117,14194.908715173602,21,0.5521560311033995
30,0.0003291108464712172,85,7789.280476376414,89,0.5521560311033995
31,0.0002209795526236779,91,16068.570630654693,128,0.5521560311033995
32,3.394163894120867e-05,84,16648.81321786344,208,0.5521560311033995
33,-0.0006148461241442282,34,6973.296590536833,435,0.5521560311033995
34,-0.00036351392763373685,49,10716.196955263615,380,0.5521560311033995
35,-0.0006002337871379235,36,7797.329153612256,431,0.5521560311033995
36,-0.0003605914602324357,56,10165.126151755452,379,0.5521560311033995
37,-0.000571009113124912,39,7392.718130990863,426,0.5521560311033995
38,-0.0006499157329596409,31,4845.394278123975,439,0.5521560311033995
39,3.101917153990752e-05,79,11604.574542462826,215,0.5521560311033995
40,-0.0005359395043094993,39,9654.888749599457,417,0.5521560311033995
41,-0.00033428925362092644,56,14035.816193893552,373,0.5521560311033995
42,-0.00015309627474126058,72,10932.057795062661,308,0.5521560311033995
43,-0.00045118794967216814,46,9656.286799699068,404,0.5521560311033995
44,-0.0006090011893418269,41,5871.821081161499,433,0.5521560311033995
45,-0.0007872717008201917,36,11686.51355573535,449,0.5521560311033995
46,0.0005804430429817085,105,30908.72648356855,38,0.5521560311033995
47,-0.0006236135263481316,28,2559.7763194441795,438,0.5521560311033995
48,3.101917153990752e-05,70,17493.658424153924,213,0.5521560311033995
49,9.823592176963287e-05,69,10100.5911270231,174,0.5521560311033995
50,-0.00035182405802853227,35,3116.800976008177,376,0.5521560311033995
51,-0.00037812626464004155,50,17704.624866440892,385,0.5521560311033995
52,-0.0008457210488458125,11,893.0932855010033,452,0.5521560311033995
53,-0.0006148461241442282,32,3888.237551957369,434,0.5521560311033995
54,-0.00020862315536537918,46,8401.097694635391,326,0.5521560311033995
55,2.2251769336205145e-05,58,12583.69281360507,221,0.5521560311033995
56,0.00039340512929944034,94,36169.96063505113,70,0.5521560311033995
57,0.0005775205755804073,102,15364.963301882148,40,0.5521560311033995
58,-0.0005359395043094993,31,3957.274772375822,419,0.5521560311033995
59,0.0004021725315033438,86,17360.941689297557,69,0.5521560311033995
60,0.00016545267199915715,76,14705.847013995051,149,0.5521560311033995
61,0.0001274605957824433,69,9157.697579786181,161,0.5521560311033995
62,-9.46469267152376e-05,51,6891.030898481607,274,0.5521560311033995
63,5.439891075031671e-05,62,12987.847392827272,198,0.5521560311033995
64,0.00033203331387231727,81,14054.540851593018,88,0.5521560311033995
65,-2.7430176485713315e-05,54,6397.323468014598,243,0.5521560311033995
66,0.00018883241120936528,73,8765.971174836159,141,0.5521560311033995
67,0.00012161566097984099,68,12397.124377772212,164,0.5521560311033995
68,0.0006155126517973223,114,29197.908967077732,31,0.5521560311033995
69,0.0006038227821919167,100,22752.52911621332,33,0.5521560311033995
70,-0.0002670725033912011,62,22471.75543408096,345,0.5521560311033995
71,-0.0003138319818118184,52,13204.607867568731,367,0.5521560311033995
72,-0.0005271721021057969,21,1370.2201006263494,415,0.5521560311033995
73,-0.00050963729769799,39,9962.685611531138,412,0.5521560311033995
74,0.00021513461782107562,72,8951.9152418226,130,0.5521560311033995
75,-0.0010502937669358875,21,2947.700936406851,455,0.5521560311033995
76,-0.0002962971774040115,49,20448.275263756514,357,0.5521560311033995
77,-6.24997853013271e-05,48,17304.52740344405,255,0.5521560311033995
78,-0.0009859994841076645,27,7193.805832162499,454,0.5521560311033995
79,0.0005205324612553365,85,18702.00308598578,46,0.5521560311033995
80,0.001363664306526395,133,15219.849532082677,8,0.5521560311033995
81,0.00045185447732526223,94,9991.127711445093,60,0.5521560311033995
82,0.0004167848685096485,90,6712.469186633825,67,0.5521560311033995
83,0.00012453812838114214,67,5280.157148078084,163,0.5521560311033995
84,-0.0002144680901679815,41,3109.184827595949,333,0.5521560311033995
85,4.270904114511212e-05,70,21316.43610547483,202,0.5521560311033995
86,-0.00013263900293215253,59,20669.5515922755,292,0.5521560311033995
87,-0.0004891800258888819,27,7449.829066812992,408,0.5521560311033995
88,0.00024728175923518716,83,25893.51317089796,118,0.5521560311033995
89,0.00012453812838114214,82,17195.21392646432,162,0.5521560311033995
90,0.0001859099438082652,89,20638.162027180195,143,0.5521560311033995
91,-0.00031675444921311954,56,13306.450241163373,370,0.5521560311033995
92,-0.0003752037972387404,52,8854.017251372337,383,0.5521560311033995
93,-0.0002612275685885988,62,14955.135843649507,341,0.5521560311033995
94,-0.00015309627474105952,63,9815.640668541193,306,0.5521560311033995
95,-0.0005768540479275143,38,12174.100005358458,427,0.5521560311033995
96,0.0005599857711728015,112,9258.006246611476,42,0.5521560311033995
97,0.0017435850686935337,203,44154.74487678707,7,0.5521560311033995
98,-0.00029921964480531264,50,11047.079535022378,360,0.5521560311033995
99,0.00046646681433156693,102,15494.660553827882,57,0.5521560311033995
100,-0.00012387160072824908,50,12196.45973958075,289,0.5521560311033995
101,-0.0005797765153288155,28,6365.504677444696,428,0.5521560311033995
102,-0.00020570068796427912,58,9835.243387699127,325,0.5521560311033995
103,9.531345436813066e-05,81,17773.025677487254,176,0.5521560311033995
104,0.00024143682443258487,92,14692.86635811627,120,0.5521560311033995
105,0.00019467734601196757,84,18450.575066536665,136,0.5521560311033995
106,-0.00016770861174756526,60,19246.04357305169,314,0.5521560311033995
107,0.00017129760680175944,76,17671.197200730443,146,0.5521560311033995
108,-0.00016186367694496294,54,12307.251737132668,313,0.5521560311033995
109,-2.7430176485713315e-05,62,14742.692369580269,242,0.5521560311033995
110,-0.00033428925362092644,40,4235.368827775121,374,0.5521560311033995
111,0.00013622799798634674,67,8752.329079508781,159,0.5521560311033995
112,0.0002823513680505999,84,15366.089108660817,107,0.5521560311033995
113,-0.0001063367963204422,41,4725.771540001035,275,0.5521560311033995
114,6.608878035532023e-05,59,20651.939491972327,187,0.5521560311033995
115,4.270904114511212e-05,58,26951.675652071834,203,0.5521560311033995
116,0.00018298747640676299,70,18297.812095947564,145,0.5521560311033995
117,0.00015084033499265142,68,28596.510140761733,156,0.5521560311033995
118,-0.00012387160072824908,41,31099.156855523586,288,0.5521560311033995
119,1.9329301934903997e-05,54,15120.511779412627,222,0.5521560311033995
120,-0.00030214211220661383,46,9380.374314963818,361,0.5521560311033995
121,0.00022097955262347685,74,25591.16435968876,129,0.5521560311033995
122,3.978657374381097e-05,56,29481.600775048137,204,0.5521560311033995
123,0.0004167848685096485,96,33619.04742358625,66,0.5521560311033995
124,0.0003378782486749196,83,21391.338477179408,86,0.5521560311033995
125,-0.00029921964480531264,44,8911.161341622472,359,0.5521560311033995
126,9.531345436813066e-05,59,10325.1781693995,175,0.5521560311033995
127,3.394163894120867e-05,68,11505.247343808413,212,0.5521560311033995
128,0.00034372318347772297,90,16786.62907102704,83,0.5521560311033995
129,0.00010115838917093403,60,20338.215325459838,171,0.5521560311033995
130,-0.0008164963748330021,20,7969.349860727787,450,0.5521560311033995
131,-0.000284607307799008,53,18659.54423506558,352,0.5521560311033995
132,-0.0004921024932903842,45,11664.845532238483,409,0.5521560311033995
133,-0.00037812626464004155,36,7989.987139746547,386,0.5521560311033995
134,0.0001566852697952537,77,31623.57435145974,152,0.5521560311033995
135,0.0005336835645610912,108,16186.150471404195,45,0.5521560311033995
136,0.000285273835451901,82,23994.808356061578,104,0.5521560311033995
137,-0.00012679406812955024,42,10082.78271150589,290,0.5521560311033995
138,6.901124775662139e-05,73,16977.504877105355,186,0.5521560311033995
139,0.0010334254901809736,123,42177.75322251022,11,0.5521560311033995
140,-0.00031675444921311954,45,13337.877599850297,368,0.5521560311033995
141,0.0001099257913746364,76,19230.708075016737,167,0.5521560311033995
142,-0.00019108835095777338,57,11800.223325058818,320,0.5521560311033995
143,0.0013402845673161868,146,13125.673090294003,9,0.5521560311033995
144,0.00034372318347772297,84,7014.41616627574,82,0.5521560311033995
145,-0.00042488574306065886,41,7255.18322339654,399,0.5521560311033995
146,-0.0001706310791488664,55,5243.792544707656,315,0.5521560311033995
147,0.00030865357466210917,84,26073.01094034314,97,0.5521560311033995
148,0.0002969637050569046,82,22773.67870400846,101,0.5521560311033995
149,0.00026189409624149186,80,19984.777643814683,113,0.5521560311033995
150,0.0003904826618981392,93,20195.39621333778,72,0.5521560311033995
151,0.00025897162884019073,79,14740.611994847655,117,0.5521560311033995
152,0.0006418148584086305,120,16891.458050072193,29,0.5521560311033995
153,-0.000284607307799008,59,14319.385777264833,353,0.5521560311033995
154,-0.0003109095144105173,55,6920.324502006173,365,0.5521560311033995
155,-0.0003079870470092161,56,8007.32726149261,364,0.5521560311033995
156,-0.0001414064051358549,68,14198.616243049502,296,0.5521560311033995
157,-0.0007317448201956709,26,8375.926692709327,445,0.5521560311033995
158,-0.0004161183408569565,50,10733.380496919155,397,0.5521560311033995
159,-0.0006206910589468305,36,13859.46717786789,437,0.5521560311033995
160,-0.00010925926372174334,63,8224.453008130193,278,0.5521560311033995
161,-0.00028168484039770686,52,16949.38580714166,349,0.5521560311033995
162,1.9329301934702925e-05,78,14201.628148242831,226,0.5521560311033995
163,-0.00015309627474105952,52,13351.661627367139,305,0.5521560311033995
164,0.00011869319357853985,76,16457.18764011562,165,0.5521560311033995
165,0.00020052228081456988,73,20238.175806060433,134,0.5521560311033995
166,-0.0003430566558246288,41,8325.189812257886,375,0.5521560311033995
167,-0.0001472513399384572,46,12315.124995976686,300,0.5521560311033995
