node,cis,degree,strength,cis_rank,e0
0,-0.0001934401029101326,52,49020.801016032696,319,0.5444187391555813
1,8.1120043156066e-06,64,23456.342672221363,217,0.5444187391555813
2,-0.00010155605402775334,59,21564.943764328957,279,0.5444187391555813
3,-8.080804298970463e-05,60,25770.819766759872,263,0.5444187391555813
4,0.0001711320910421125,78,43205.747172921896,144,0.5444187391555813
5,0.0002600521383478316,92,36987.73663653433,110,0.5444187391555813
6,-0.00027939614863878363,52,14897.461254045367,356,0.5444187391555813
7,-5.4132028798131654e-05,64,26866.742171630263,244,0.5444187391555813
8,-9.266404929736497e-05,54,10401.40776926279,272,0.5444187391555813
9,-0.0001252680666424622,56,14111.84301674366,291,0.5444187391555813
10,-0.00010155605402775334,56,18614.89225231111,277,0.5444187391555813
11,0.0031944136994279965,151,51510.11750590801,4,0.5444187391555813
12,-0.00042463222590430886,42,6380.49712523818,406,0.5444187391555813
13,0.0002126281131182099,87,36048.665617354214,127,0.5444187391555813
14,0.0002600521383478316,79,50595.94923135638,111,0.5444187391555813
15,-8.970004772029694e-05,53,9331.621133685112,268,0.5444187391555813
16,-9.266404929736497e-05,60,17895.22543004155,271,0.5444187391555813
17,-7.191603825931625e-05,54,13943.303566426039,258,0.5444187391555813
18,0.0003519361872300069,87,13483.826941728592,81,0.5444187391555813
19,-9.859205245088923e-05,52,7823.656413778663,275,0.5444187391555813
20,0.00024523213046351105,73,27671.491626359522,117,0.5444187391555813
21,6.146403269895648e-05,62,9753.15321135521,193,0.5444187391555813
22,0.000215592114695074,87,18527.693037219346,125,0.5444187391555813
23,-0.00016380008714169552,56,22197.4974796772,309,0.5444187391555813
24,-5.709603037519969e-05,58,14350.34819585085,247,0.5444187391555813
25,0.00026894414307821997,73,24006.947926983237,106,0.5444187391555813
26,0.0001800240957729087,72,13873.793091595173,139,0.5444187391555813
27,-0.0001964041044869967,53,6335.696547925472,320,0.5444187391555813
28,1.70040090461989e-05,59,16454.642508983612,211,0.5444187391555813
29,-3.338401776049081e-05,59,8560.894464701414,233,0.5444187391555813
30,6.739203585248076e-05,62,11828.327430546284,188,0.5444187391555813
31,0.00045271224084297845,103,28111.523105338216,60,0.5444187391555813
32,-7.800004149857031e-07,80,21470.38568301499,221,0.5444187391555813
33,-5.4132028798131654e-05,75,12566.48710384965,243,0.5444187391555813
34,0.0005075462700146584,95,17334.86761984229,53,0.5444187391555813
35,1.40400074693348e-05,70,15636.373994991183,212,0.5444187391555813
36,-0.0001430520761036468,73,11750.173909410834,296,0.5444187391555813
37,-0.00024975613287014264,63,14114.959028840065,341,0.5444187391555813
38,0.00012667206738955884,76,17797.551633805037,160,0.5444187391555813
39,-0.0001934401029101326,60,12575.199029743671,318,0.5444187391555813
40,-9.672005145374076e-06,67,12961.418285086751,225,0.5444187391555813
41,-0.00022604412025543376,54,7833.504644006491,334,0.5444187391555813
42,-0.00027346814548505544,56,16802.662863716483,355,0.5444187391555813
43,-0.00035646018963684243,48,10043.700107499957,386,0.5444187391555813
44,-0.0002705041439081914,46,6428.249744862318,349,0.5444187391555813
45,-0.0003801722022515513,49,9046.908537834883,394,0.5444187391555813
46,0.0012915246870912364,119,23569.326171062887,11,0.5444187391555813
47,-7.191603825931625e-05,67,12269.814420446754,259,0.5444187391555813
