node,cis,degree,strength,cis_rank,e0
0,-0.00030044238418345127,50,14255.926572680473,342,0.5515342844290212
1,4.479752117099539e-05,76,16404.26296211779,209,0.5515342844290212
2,-4.2975336122415885e-05,61,15769.073268637061,240,0.5515342844290212
3,0.00027300695013442834,82,15451.564117789268,110,0.5515342844290212
4,0.00028763575968343086,84,20350.455594182014,105,0.5515342844290212
5,9.160971172780348e-05,63,16428.717821732163,188,0.5515342844290212
6,0.00024082356912682407,79,10618.712069243193,125,0.5515342844290212
7,0.00013695902132940938,82,19592.207218006253,164,0.5515342844290212
8,0.00014719918801381178,68,7806.680803120136,158,0.5515342844290212
9,-0.0005286518131466829,33,4964.717950865626,425,0.5515342844290212
10,6.235209262999971e-05,61,12126.190119564533,201,0.5515342844290212
11,0.00027008118822482915,81,13914.811402589083,113,0.5515342844290212
12,-0.00012489666959622614,57,11777.108267128468,273,0.5515342844290212
13,0.000463181474270656,98,20857.702863499522,57,0.5515342844290212
14,0.0002964130454128324,85,8810.037115603685,102,0.5515342844290212
15,-0.000534503336966284,40,4207.146798431873,426,0.5515342844290212
16,0.0002613039024954276,77,9967.009020708501,116,0.5515342844290212
17,0.0002993388073226329,85,10145.046375855803,100,0.5515342844290212
18,0.00014427342610381,68,14932.355818912387,161,0.5515342844290212
19,-0.00032677424137145456,46,6643.568912535906,351,0.5515342844290212
20,-6.638143140061864e-05,66,12015.29717670381,254,0.5515342844290212
21,-0.0003589576223792601,53,7498.823613062501,363,0.5515342844290212
22,-0.0002038922411606385,53,12718.665764674544,306,0.5515342844290212
23,0.00027300695013442834,83,14180.672102838755,109,0.5515342844290212
24,-0.0003062939080032536,58,9110.59546892345,344,0.5515342844290212
25,0.0002027886642994175,76,8455.010424360633,138,0.5515342844290212
26,0.00038126014079644315,87,16383.672566086054,76,0.5515342844290212
27,-0.0001629315744236327,55,10819.757351085544,293,0.5515342844290212
28,0.00011209004509640702,78,14712.46741002798,181,0.5515342844290212
29,0.0005714346649326708,108,22759.34928163886,45,0.5515342844290212
30,-7.223295522021964e-05,63,9757.673484116793,258,0.5515342844290212
31,0.0004982906171878595,104,16952.74319462478,55,0.5515342844290212
32,0.00042514656944324944,91,11678.313789442182,67,0.5515342844290212
33,-0.00027703628890524856,47,10926.215383857489,332,0.5515342844290212
34,-0.00010734209813762441,69,10419.89987976849,269,0.5515342844290212
35,-0.00044087895585327166,41,5092.853722035885,395,0.5515342844290212
36,-0.0002594817174464455,51,7875.145863473415,323,0.5515342844290212
37,-0.00042625014630426913,41,5116.835381418467,390,0.5515342844290212
38,-0.00032970000328145637,50,8888.538218349218,352,0.5515342844290212
39,-4.004957421261538e-05,68,9284.83375222981,239,0.5515342844290212
40,-0.0005052457178684802,38,5629.145454406738,419,0.5515342844290212
41,-0.0005023199559586797,38,10711.070587337017,417,0.5515342844290212
42,-0.000206818003070439,60,10337.681501299143,307,0.5515342844290212
43,-0.0007861188612079197,35,8118.391181394458,447,0.5515342844290212
44,-0.0006983460039143071,34,4674.899272337556,441,0.5515342844290212
45,-0.0007334551468317119,39,9227.154162853956,445,0.5515342844290212
46,-0.0003560318604694596,62,16820.977521702647,361,0.5515342844290212
47,-0.000891446289960134,33,10089.277513220906,450,0.5515342844290212
48,0.0002583781405854258,73,16228.460043355823,117,0.5515342844290212
49,-0.00043210167012366885,43,14503.036181166768,392,0.5515342844290212
50,-0.0004993941940488792,37,10362.285027250648,416,0.5515342844290212
51,-0.00037651219383786185,64,23013.156353905797,368,0.5515342844290212
52,-0.00032384847946165403,44,11432.447239875793,349,0.5515342844290212
53,0.00012086733082560723,61,4173.464331999421,176,0.5515342844290212
54,-4.2975336122415885e-05,52,5202.586332559586,242,0.5515342844290212
55,0.000150124949923411,65,6810.949561059475,157,0.5515342844290212
56,0.00024667509294622376,90,27687.639618352056,122,0.5515342844290212
