node,cis,degree,strength,cis_rank,e0
0,-0.0004608508263127225,43,15885.269875437021,408,0.5477813122549964
1,-0.00016627013047245136,57,15464.045098364353,300,0.5477813122549964
2,-0.0006287618229412696,40,11407.322639152408,445,0.5477813122549964
3,-4.8437852136180775e-05,63,16802.252744719386,241,0.5477813122549964
4,-0.00011913721913798367,62,14096.188392534852,274,0.5477813122549964
5,-0.0001368120608882824,67,20352.70731984079,291,0.5477813122549964
6,-0.00013092044697165126,52,8966.38240943849,287,0.5477813122549964
7,-0.00012208302609640056,69,21218.77322049439,277,0.5477813122549964
8,3.9936356615718155e-05,69,17099.58574306965,198,0.5477813122549964
9,-0.00020161981397325148,50,11541.747967362404,313,0.5477813122549964
10,-0.00026348176009960097,42,6677.2391346246,337,0.5477813122549964
11,-7.200430780351596e-05,66,29040.345610514283,252,0.5477813122549964
12,-0.0002399153044324685,48,9958.445674315095,329,0.5477813122549964
13,-0.0005094566411260946,42,15410.513249218464,420,0.5477813122549964
14,0.0005171570838768236,92,18582.305364206433,53,0.5477813122549964
15,-3.665462430271586e-05,59,8743.504692211747,234,0.5477813122549964
16,-0.00030177725055902067,54,27611.43096612394,355,0.5477813122549964
17,6.055700532443377e-05,69,22385.9065028131,191,0.5477813122549964
18,-6.905850084509907e-05,58,14996.122101962566,247,0.5477813122549964
19,-7.196554718749548e-06,62,4871.612621948123,217,0.5477813122549964
20,-0.0002075114278898826,50,10497.424974322319,316,0.5477813122549964
21,-0.00011324560522114987,57,10859.75618751347,270,0.5477813122549964
22,-0.0005109295446054044,40,21643.366075217724,421,0.5477813122549964
23,0.0007498758335905425,95,20500.132760882378,29,0.5477813122549964
24,0.00012536475840940287,72,21190.903013199568,162,0.5477813122549964
25,-0.00011913721913798367,59,12661.563294902444,276,0.5477813122549964
26,-1.0142361677166447e-05,67,22910.762155771255,218,0.5477813122549964
27,-3.370881734429896e-05,72,19544.78581316769,231,0.5477813122549964
28,0.00028443833416310466,89,30446.906336039305,105,0.5477813122549964
29,0.0002903299480799385,75,17186.191472038627,103,0.5477813122549964
30,-1.308816863538067e-05,59,12736.123117521405,220,0.5477813122549964
31,0.0004140538403328402,112,27344.973997160792,75,0.5477813122549964
32,0.00011358153057573527,85,27380.035642415285,168,0.5477813122549964
33,-0.0002958856366419842,49,10407.519542828202,351,0.5477813122549964
34,-3.9600431261132756e-05,71,21626.60268947482,236,0.5477813122549964
35,-0.0004991463167717368,38,9628.868020549417,416,0.5477813122549964
36,-0.0003636391966853702,43,13236.626519545913,378,0.5477813122549964
37,-0.0004608508263125198,42,14200.133834630251,407,0.5477813122549964
38,-0.00012502883305481747,72,15460.855812877417,282,0.5477813122549964
39,-0.00011913721913798367,76,21473.69754679501,275,0.5477813122549964
40,-0.0003960430732277534,48,9483.893648192286,388,0.5477813122549964
41,-0.0003371269340598208,59,19832.653569296002,367,0.5477813122549964
42,9.590668882543655e-05,85,12333.763506904244,176,0.5477813122549964
43,-0.0003518559688517026,57,11165.769426420331,371,0.5477813122549964
44,-0.0002693733740164348,47,5487.244387194514,341,0.5477813122549964
45,-0.0002575901461827672,58,12589.479486122727,333,0.5477813122549964
46,0.0004876990142928573,102,16495.933396726847,59,0.5477813122549964
47,-0.0005668998768151228,34,4682.611948877573,437,0.5477813122549964
48,-0.00026348176009960097,45,18480.931525811553,338,0.5477813122549964
49,9.296088186701965e-05,72,10654.223898544908,179,0.5477813122549964
50,-0.0005109295446054044,35,4734.4467010349035,424,0.5477813122549964
51,-0.00020161981397325148,61,13059.016976773739,315,0.5477813122549964
52,-0.00047852566806302123,35,3310.0173568725586,412,0.5477813122549964
53,-0.0002752649879332686,41,5381.542626187205,344,0.5477813122549964
54,-0.00016332432351403447,47,7644.8189193457365,299,0.5477813122549964
55,0.0001960641254110031,67,12630.684426173568,131,0.5477813122549964
56,0.0005201028908350378,100,33182.10915966332,51,0.5477813122549964
57,0.00038164996379025433,98,14582.79447518289,80,0.5477813122549964
58,-0.0003282895131843674,50,6315.773944333196,363,0.5477813122549964
59,9.885249578365077e-05,87,13448.011833921075,175,0.5477813122549964
60,0.00014598540711832116,77,17945.214996770024,152,0.5477813122549964
61,-3.665462430271586e-05,61,7864.196920931339,235,0.5477813122549964
62,0.0003698667359567894,84,11811.11240695417,83,0.5477813122549964
63,0.0004435119099168065,96,27668.179916113615,65,0.5477813122549964
64,0.000534831925627325,102,16241.141680672765,49,0.5477813122549964
65,7.528604011672094e-05,72,12967.4508241117,184,0.5477813122549964
66,0.00020490154628625376,82,6620.11140473187,130,0.5477813122549964
67,0.00013125637232623666,76,11822.935992762446,160,0.5477813122549964
68,-0.0002752649879332686,61,20493.134109959006,343,0.5477813122549964
69,0.00011063572361752105,86,20169.113722085953,169,0.5477813122549964
70,0.00014009379320148736,93,39278.24392083287,157,0.5477813122549964
71,-0.0002958856366419842,56,23036.55473074317,352,0.5477813122549964
72,-0.0005433334211477877,25,6668.745926320553,434,0.5477813122549964
73,5.761119836621954e-05,57,10587.31013469398,193,0.5477813122549964
74,-0.0003253437062261532,37,8699.392206639051,361,0.5477813122549964
75,-0.0005109295446054044,40,9919.689881742,423,0.5477813122549964
76,-0.000832022503071225,27,10801.16333667934,453,0.5477813122549964
77,-0.00041077210801963523,32,7664.740731969476,396,0.5477813122549964
78,-0.0003989888801861703,52,11937.992743939161,393,0.5477813122549964
79,-0.0003636391966853702,44,10848.799174010754,377,0.5477813122549964
80,0.0003934331916239219,82,13207.533935129642,78,0.5477813122549964
81,-0.00017805335830591628,51,7754.6513240635395,305,0.5477813122549964
82,0.001000269425054763,118,8991.711194321513,11,0.5477813122549964
83,0.00024319703674547077,78,7420.773248359561,115,0.5477813122549964
84,-0.00014270367480511618,44,3825.658790796995,295,0.5477813122549964
85,0.0006173145204625928,98,18350.840541422367,40,0.5477813122549964
86,0.00018133509061912125,81,24428.885326087475,136,0.5477813122549964
87,-0.0002723191809748517,37,8649.421923980117,342,0.5477813122549964
88,0.00020784735324467067,79,19085.560777127743,129,0.5477813122549964
89,-0.00019278239309800078,67,12963.979822695255,310,0.5477813122549964
90,0.00017249766974387055,81,17370.852090001106,139,0.5477813122549964
91,-0.00013386625392986548,66,20673.53422048688,289,0.5477813122549964
92,9.590668882543655e-05,57,8399.808187454939,178,0.5477813122549964
93,0.00012536475840940287,68,19023.52616621554,161,0.5477813122549964
94,0.0006939055013810268,86,13028.489537149668,33,0.5477813122549964
95,-0.0004726340541461874,55,21701.51061576605,411,0.5477813122549964
96,0.0005407235395441588,105,10547.36540208757,48,0.5477813122549964
97,0.0011446139660163802,157,28199.446429222822,10,0.5477813122549964
98,-2.1925589510631365e-05,72,17245.08164855838,226,0.5477813122549964
99,0.00044056610295818693,113,14657.256091460586,66,0.5477813122549964
100,-7.495011476193286e-05,68,15529.40457315743,253,0.5477813122549964
101,-0.0003577475827683337,49,6145.894622862339,372,0.5477813122549964
102,-3.665462430251318e-05,72,10782.98711811006,233,0.5477813122549964
103,0.00016660605582703676,94,19881.146251663566,141,0.5477813122549964
104,0.00018133509061912125,83,11728.851287648082,137,0.5477813122549964
105,-0.00015448690263878377,54,19416.024485751987,298,0.5477813122549964
106,0.00024614284370388765,77,13997.137425929308,114,0.5477813122549964
107,0.0003698667359567894,84,21012.85417729616,84,0.5477813122549964
108,-0.0002487527253075165,42,8145.375356256962,330,0.5477813122549964
109,0.0004376202959999727,93,14488.99886290729,70,0.5477813122549964
110,-0.00041077210801963523,30,2939.6571407318115,397,0.5477813122549964
111,0.00021079316020308756,70,6571.7163366004825,126,0.5477813122549964
112,0.0006232061343794266,107,19434.92151670158,37,0.5477813122549964
113,0.00014598540711811847,60,11658.154589250684,155,0.5477813122549964
114,-0.0004078263010612183,45,23803.241251051426,394,0.5477813122549964
115,0.00015482282799336917,62,33637.32236638665,147,0.5477813122549964
116,0.0001960641254110031,64,23475.066500604153,132,0.5477813122549964
117,0.0002697092993712229,74,31823.517919808626,107,0.5477813122549964
118,7.823184707493516e-05,54,27417.226068660617,183,0.5477813122549964
119,0.00014598540711832116,62,29730.284477889538,154,0.5477813122549964
120,-0.0003606933897269533,38,17022.142114132643,374,0.5477813122549964
121,0.0005583983812944575,102,41597.58600088954,46,0.5477813122549964
122,-0.0001692159374306656,56,30563.950639873743,301,0.5477813122549964
123,0.0009796487763458447,124,38441.42075301707,13,0.5477813122549964
124,0.00016660605582703676,66,18674.22562532127,142,0.5477813122549964
125,-8.967914955381468e-05,38,16255.149224922061,257,0.5477813122549964
126,-0.0003430185479764519,40,8544.792379200459,369,0.5477813122549964
127,0.00023730542282863698,75,6823.851266294718,118,0.5477813122549964
128,-0.0002487527253075165,57,13267.344992861152,331,0.5477813122549964
129,-0.0003076688644756518,41,11694.593927443027,357,0.5477813122549964
130,-0.0008202392752375574,28,10912.742867946625,452,0.5477813122549964
131,-0.0005580624559398721,53,13964.023715734482,436,0.5477813122549964
132,-0.0003459643549348688,59,11874.685800358653,370,0.5477813122549964
133,-0.0005286043863559058,32,15085.943615958095,429,0.5477813122549964
134,0.00014893121407653538,81,24024.42023485899,149,0.5477813122549964
135,2.226151486541944e-05,68,13964.90484932065,204,0.5477813122549964
136,-0.0002192946557235502,52,16943.478598564863,320,0.5477813122549964
137,-0.0002575901461827672,50,24872.23012700677,335,0.5477813122549964
138,6.0557005324636446e-05,68,21880.916760757565,190,0.5477813122549964
139,0.0008735997258434442,107,28417.113554418087,20,0.5477813122549964
140,-0.0005374418072309538,39,12234.026013851166,432,0.5477813122549964
141,-0.00012208302609640056,52,17296.46091105044,278,0.5477813122549964
142,-0.000340072741018035,45,10753.72581012547,368,0.5477813122549964
143,0.0012595004373940311,122,13857.643091961741,8,0.5477813122549964
144,0.0009884861972210954,101,7263.668549418449,12,0.5477813122549964
145,-0.0002192946557235502,55,7249.131925523281,322,0.5477813122549964
146,-4.250747760129973e-06,66,9217.032570049167,213,0.5477813122549964
147,0.0007646048683826271,110,16868.041774109006,28,0.5477813122549964
148,0.0005937480647952577,110,43512.415922924876,42,0.5477813122549964
149,-0.00011324560522114987,71,29813.89317983389,269,0.5477813122549964
150,-8.967914955401736e-05,74,20028.430378973484,258,0.5477813122549964
151,0.00015482282799336917,90,35733.811372071505,146,0.5477813122549964
152,0.0003286254385391555,103,19702.655889570713,96,0.5477813122549964
153,-0.0002516985322659334,69,32964.57027293742,332,0.5477813122549964
154,-0.0003636391966853702,58,13340.014864683151,375,0.5477813122549964
155,-0.0006317076298998892,37,11505.042630508542,446,0.5477813122549964
156,-0.0005050379306885707,49,17387.581238031387,419,0.5477813122549964
157,-0.0005875205255238384,44,14403.945611327887,441,0.5477813122549964
158,1.931570790700254e-05,64,17463.731494620442,205,0.5477813122549964
159,-0.0006037224637950301,44,11313.784635424614,442,0.5477813122549964
160,-0.00023696949747405158,56,10182.977625504136,327,0.5477813122549964
161,-0.00017216174438908249,63,20213.234280988574,302,0.5477813122549964
162,0.0002682363958919131,73,15591.228393495083,109,0.5477813122549964
163,0.00014893121407653538,86,13942.890252768993,150,0.5477813122549964
164,-0.0004225553358533028,38,11860.498579114676,402,0.5477813122549964
165,-0.0003636391966853702,49,21182.043964460492,376,0.5477813122549964
166,-0.0005138753515638214,35,10952.134025350213,425,0.5477813122549964
167,4.586673114918047e-06,48,20954.13797879219,210,0.5477813122549964
168,0.00016660605582703676,63,16489.562020033598,143,0.5477813122549964
169,-9.262495651223158e-05,67,18395.165046423674,259,0.5477813122549964
170,-0.0005109295446054044,30,19405.27126799524,422,0.5477813122549964
171,0.0005583983812944575,110,25861.198962509632,45,0.5477813122549964
172,-0.0005256585793972863,36,10534.038499847054,427,0.5477813122549964
173,-0.00015448690263878377,54,22265.892607554793,297,0.5477813122549964
174,0.0009413532858868303,124,28933.868753001094,15,0.5477813122549964
175,-0.00022224046268196708,56,19215.48936417699,324,0.5477813122549964
176,0.0003197880176639048,83,21458.318869888783,98,0.5477813122549964
177,0.00021373896716150447,73,29744.083930179477,124,0.5477813122549964
178,-6.905850084509907e-05,63,15557.303766801953,249,0.5477813122549964
179,0.000390487384665505,87,19399.882764220238,79,0.5477813122549964
180,-0.0002192946557235502,39,13858.115896835923,323,0.5477813122549964
181,0.0003757583498734205,93,28182.910736203194,82,0.5477813122549964
182,0.0002962215619965696,78,9426.976363942027,101,0.5477813122549964
183,0.00024319703674547077,72,13122.072787567973,116,0.5477813122549964
184,0.0004022706124991726,100,21488.120888888836,76,0.5477813122549964
185,2.5207321823836336e-05,73,18760.997053340077,202,0.5477813122549964
186,-0.00029293982968356733,46,7957.135363385081,348,0.5477813122549964
187,0.0003698667359565867,84,13653.251822322607,85,0.5477813122549964
188,0.0005024280490847392,88,18941.68111461401,57,0.5477813122549964
189,-0.0001957282000564177,49,2952.6156297028065,312,0.5477813122549964
190,7.532480073334945e-06,68,9807.871767491102,207,0.5477813122549964
191,0.00013714798624307045,70,8002.738480821252,158,0.5477813122549964
192,-0.0001898365861395839,42,3137.554750472307,308,0.5477813122549964
193,0.00035219189420628797,84,12003.137268185616,92,0.5477813122549964
194,0.0004376202959999727,85,17122.896682083607,69,0.5477813122549964
195,-1.6033975594000243e-05,62,9416.970930829644,223,0.5477813122549964
