atlas,expected_nodes,role
atlas_4S456Parcels,456,PRIMARY
atlas_4S256Parcels,256,sensitivity
atlas_4S156Parcels,156,sensitivity
atlas_Brainnetome246Ext,256,sensitivity
atlas_AICHA384Ext,394,archived
atlas_Gordon333Ext,385,archived
atlas_AAL116,116,coarse_anchor
