subject,null_id,seed,rewire_accepted,n_swaps_factor,attempts,cis_runtime_s,status
347,20,120,77375,10,1,26.799,ok
347,21,121,77713,10,1,39.823,ok
347,22,122,78016,10,1,28.935,ok
347,23,123,77839,10,1,34.902,ok
347,24,124,78393,10,1,35.316,ok
