cis_mean,cis_median,cis_sd,node,mean_rank,top50_rate
0.00456389538012312,0.004122758611701,0.0020468138689394844,414,2.9700374531835205,1.0
0.004287981645196272,0.0038999652283268,0.0018176827453315087,400,3.124219725343321,1.0
0.0037490133616894235,0.0035210105254819,0.0014323002660217086,415,3.4313358302122348,1.0
0.0034169413576239345,0.0031352916831449,0.001369654018395338,401,3.9388264669163546,1.0
0.002056930299480308,0.0017374769067546,0.0012637476539652166,451,10.781523096129838,0.9887640449438202
0.0019850233720366487,0.0016790136977941,0.0010736166077942003,442,10.122347066167292,0.9925093632958801
0.0018214822899325664,0.0015267058916754,0.0010356729346707116,444,12.346441947565543,0.9850187265917603
0.001446009092454664,0.0010742409764483,0.0013964869284714952,286,50.75967540574282,0.700374531835206
0.0012231297564320694,0.0011080169232192,0.0005102436086069682,97,18.50998751560549,0.9662921348314607
0.0010909094891300552,0.0010129682183722,0.00044430519384130784,432,22.965667915106117,0.9363295880149812
0.0010393921965053995,0.0010038229990134,0.0004085361481932214,439,24.530586766541823,0.9113607990012484
0.0010002118629681598,0.0009178159464855,0.0004473852388537594,428,27.042446941323345,0.8876404494382022
0.0008514861675966278,0.0007981038881996,0.0003593535558754937,435,33.5374531835206,0.8264669163545568
0.0008149234113112868,0.0007479316927543,0.0003967931058028861,430,38.508114856429465,0.7578027465667915
0.0007968353230942054,0.0007171162560878,0.00038337690051033795,425,40.04494382022472,0.735330836454432
0.0007660460086275864,0.0005843047950297,0.0006264994054676157,446,62.848314606741575,0.5268414481897628
0.0007433605666747826,0.0006997262226124,0.00032426051255606925,411,41.88389513108614,0.7128589263420724
0.0007310484048667261,0.0006272699253019,0.0005276421096215097,174,63.166042446941326,0.5593008739076155
0.0006986655706459932,0.00069004714409,0.0002309575290278976,418,42.75593008739076,0.7166042446941323
0.0006810310584431054,0.000633877056771,0.0003626740410971461,437,52.394506866416975,0.6129837702871411
0.0006717798605107888,0.0005713029619922,0.0007096207524626434,355,92.50873907615481,0.519350811485643
0.0006258621025645883,0.0005426612726148,0.0006757689423834638,63,101.61797752808988,0.4893882646691635
0.0005844301112005076,0.000565232500438,0.00040316010259084035,303,75.19662921348315,0.5031210986267166
0.0005798709993921337,0.0003036242547492,0.0008386628428422545,253,129.1136079900125,0.3782771535580524
0.0005607995032164044,0.0005307998273872,0.0002938621388236337,440,63.500624219725346,0.4556803995006242
0.0005585040364043775,0.0005639965895182,0.00036895316247515333,177,77.28027465667915,0.5056179775280899
0.0005571720316606009,0.0005306058143256,0.0004030277370580119,123,79.07428214731586,0.45942571785268416
0.0005566305818178449,0.000264689025882,0.0010455868044124184,199,151.62609238451935,0.3445692883895131
0.0005541244465497807,0.0005080379613348,0.0003795612565536238,436,73.9769038701623,0.43196004993757803
0.0005491389346111491,0.0005264707966765,0.00023737720248471155,433,61.8270911360799,0.43820224719101125
0.0005367750744094416,0.0004990191979291,0.0003748970248090668,447,71.44694132334581,0.41448189762796506
0.0005339651383064127,0.0005139412239023,0.00024345315227660086,431,64.67602996254682,0.39325842696629215
0.0005317596899795642,0.0004401621766391,0.0004714965903393293,227,90.43196004993757,0.38701622971285893
0.0005189003067414404,0.0003998491463896,0.0006257615742785441,109,117.08676654182273,0.39575530586766544
0.0005137020725125373,0.000428793635146,0.00048711211200703927,310,101.61610486891385,0.4369538077403246
0.0005117500448773388,0.0005104999277184,0.00032307792280314543,301,77.44881398252184,0.44569288389513106
0.000503508251265375,0.0004480193180597,0.0005895000726220583,80,108.27777777777777,0.3995006242197253
0.0004818766446900147,0.0004186596077558,0.00044263566569295213,302,100.60174781523096,0.39575530586766544
0.0004807398669786558,0.0004775051602792,0.0001883224263134306,404,71.59675405742821,0.33083645443196
0.00047976508111677,0.0004527552796847,0.00023419012460919672,438,74.02871410736579,0.31086142322097376
0.000472735537855101,0.000411262060375,0.0005044636156803145,143,105.29588014981273,0.3470661672908864
0.00046839039733764624,0.0005086973376586,0.00047146995427470897,147,108.35330836454432,0.45068664169787764
0.00045984764902344235,0.000414781603884,0.0005203481437584004,284,113.28214731585518,0.38451935081148564
0.00045594116532808495,0.0003683102186282,0.0003829145497290134,139,96.62359550561797,0.32709113607990015
0.00045149502279922025,0.0004149386736734,0.00030480132420429145,429,87.81772784019975,0.2883895131086142
0.00044917613800873684,0.0003937449996698,0.0004838150603057851,377,112.25905118601747,0.35580524344569286
0.0004455797047886779,0.0004989514627503,0.00040470424513635943,188,102.66416978776529,0.4257178526841448
0.0004437890623936058,0.0003039837688273,0.0005484412625077367,311,124.71660424469414,0.3545568039950062
0.00043927225767243243,0.0003866021688432,0.0003275217070636539,450,91.31398252184769,0.2846441947565543
0.0004362907543086809,0.0004258712086269,0.0003620597262276275,99,96.896379525593,0.31086142322097376
0.00040840583425988543,0.0004398753669975,0.0004695053388328905,316,118.15917602996255,0.4069912609238452
0.00040688210332214865,0.0002752903776414,0.0005453796549308853,48,129.66791510611736,0.2908863920099875
