metric,mean,median
n_nodes,456.0,456.0
density_raw,0.451467450677977,0.4623337189126662
isolated_nodes_post_threshold,0.12,0.0
n_components_multi,1.0,1.0
giant_frac,0.999736842105263,1.0
ge,0.5466585864590251,0.546774387892809
strength_mean,15588.430636730629,15527.439118628667
flag_density_iqr,0.0,0.0
flag_strength_iqr,0.005555555555555556,0.0
flag_components,0.0,0.0
flag_isolated,0.10444444444444445,0.0
n_qc_pass,801.0,801.0
