condition,atlas,variant,cost,n_subjects,cis_mean_of_means,top50_mean_of_means,topdecile_mean_of_means,cis_max_median,gini_abs_cis_median,spearman_cis_degree_median,e0_median
cost_10,atlas_4S456Parcels,sift_radius2_count_connectivity,0.1,150,9.927264544037445e-05,0.001563881486999277,0.0016430159113896214,0.00898034678781635,0.5264679464148098,0.8977566593054402,0.49006611078979495
cost_20,atlas_4S456Parcels,sift_radius2_count_connectivity,0.2,150,3.2247375395987954e-05,0.0010285470958152241,0.0010714720700838681,0.00409207026350575,0.47546722961445825,0.9791323597820232,0.5872730704967547
cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,150,1.5647273149807637e-05,0.0009264087537122626,0.0009608032634314366,0.0026603359607243002,0.45766538116861455,0.9950278548369633,0.6201143885354412
atlas_4S256,atlas_4S256Parcels,sift_radius2_count_connectivity,0.15,150,0.00015466390703573535,0.0018865770111534622,0.00272895239156303,0.00891821534912935,0.5095468928834948,0.9422072401548884,0.5350081699346405
atlas_4S156,atlas_4S156Parcels,sift_radius2_count_connectivity,0.15,150,0.00041707820414882597,0.003179390895685218,0.006329013365455899,0.0170212289195866,0.5617805385578694,0.9566063436994284,0.5160497656465398
atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,150,0.00013826107392846736,0.0017043549325934386,0.0022848484629197307,0.00497168864255655,0.45886909050951763,0.9463241785924175,0.5295330371732025
atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,150,0.0006110631642282154,0.00384803666351308,0.007879743889655847,0.01528576386403215,0.5389231040982874,0.9446571098001123,0.48060719640179905
weight_invnodevol,atlas_4S456Parcels,sift_invnodevol_radius2_count_connectivity,0.15,150,5.6411670112488264e-05,0.0011867223169977307,0.0012365165318044854,0.003985406072278199,0.4831570006334097,0.9378975431432444,0.5413810969732022
weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,150,5.8109721431328436e-05,0.0012541434363804833,0.0013107741468898905,0.0058386666349790495,0.4852610855368072,0.9488777606775451,0.5461771415718785
