node,stouffer_z,p_one_sided,q_bh,subjects_with_nulls
170,-inf,1.0,1.0,100
171,-inf,1.0,1.0,100
172,-inf,1.0,1.0,100
173,-inf,1.0,1.0,100
174,-inf,1.0,1.0,100
175,-inf,1.0,1.0,100
176,-inf,1.0,1.0,100
177,-inf,1.0,1.0,100
178,-inf,1.0,1.0,100
179,-inf,1.0,1.0,100
180,-inf,1.0,1.0,100
181,-inf,1.0,1.0,100
182,-inf,1.0,1.0,100
183,-inf,1.0,1.0,100
184,-inf,1.0,1.0,100
185,-inf,1.0,1.0,100
186,-inf,1.0,1.0,100
187,-inf,1.0,1.0,100
188,-inf,1.0,1.0,100
189,-inf,1.0,1.0,100
190,-inf,1.0,1.0,100
191,-inf,1.0,1.0,100
192,-inf,1.0,1.0,100
193,-inf,1.0,1.0,100
194,-inf,1.0,1.0,100
195,-inf,1.0,1.0,100
196,-inf,1.0,1.0,100
197,-inf,1.0,1.0,100
198,-inf,1.0,1.0,100
199,-inf,1.0,1.0,100
200,-inf,1.0,1.0,100
201,-inf,1.0,1.0,100
202,-inf,1.0,1.0,100
203,-inf,1.0,1.0,100
204,-inf,1.0,1.0,100
205,-inf,1.0,1.0,100
206,-inf,1.0,1.0,100
207,-inf,1.0,1.0,100
208,-inf,1.0,1.0,100
209,-inf,1.0,1.0,100
210,-inf,1.0,1.0,100
211,-inf,1.0,1.0,100
212,-inf,1.0,1.0,100
213,-inf,1.0,1.0,100
214,-inf,1.0,1.0,100
215,-inf,1.0,1.0,100
216,-inf,1.0,1.0,100
217,-inf,1.0,1.0,100
218,-inf,1.0,1.0,100
219,-inf,1.0,1.0,100
220,-inf,1.0,1.0,100
221,-inf,1.0,1.0,100
222,-inf,1.0,1.0,100
223,-inf,1.0,1.0,100
224,-inf,1.0,1.0,100
225,-inf,1.0,1.0,100
226,-inf,1.0,1.0,100
227,-inf,1.0,1.0,100
228,-inf,1.0,1.0,100
229,-inf,1.0,1.0,100
230,-inf,1.0,1.0,100
231,-inf,1.0,1.0,100
232,-inf,1.0,1.0,100
233,-inf,1.0,1.0,100
