cis_mean,cis_median,cis_max,top50_mean,topdecile_mean,gini_abs_cis,subject,condition,atlas,variant,cost,e0,spearman_cis_degree,n_nodes
0.0001299782487143585,-6.68223196778109e-05,0.004712797331589473,0.0016982194991739174,0.002324838780125576,0.47626109084654433,258,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5346022263071895,0.9435057864393857,256
0.00013121577189509668,-7.867981082954564e-06,0.003903206110625188,0.0015534327963270089,0.0019456007082803868,0.43454668707570465,84,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5263429330065359,0.9363367156468217,256
0.00013654857323187582,-1.0156977031119359e-05,0.004021592287605777,0.001670809787628182,0.0021909369056925827,0.47180539500466623,820,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5284594566993464,0.9475316186925378,256
0.00013802250776790093,8.056671458911325e-06,0.004036241102058643,0.0016684239414469016,0.0022534268574876926,0.4668571654353014,706,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5314823325163398,0.9422661329084517,256
0.00014212400759334087,-4.5545821576718724e-05,0.005584699369768996,0.0016961985473137326,0.0022022601480894436,0.4357390105678052,892,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5349571078431372,0.9521303495394792,256
0.00012118008110083316,-4.545673564326076e-06,0.005028424096797194,0.0017142280491695989,0.0023103444168277045,0.43638906107415887,205,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5306985294117647,0.9528114541547363,256
0.00013677987211047592,-1.9561686791990572e-05,0.0041689942858220645,0.001699229151790288,0.0022460994661253272,0.4841580428462807,626,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5292560253267973,0.9423515329814669,256
0.000127148118485521,-2.9899303254965145e-05,0.0035878403109406752,0.0017003832664631152,0.002239100239430259,0.4333509472560546,180,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5284773284313725,0.9519792923936982,256
0.00014679032390176795,-4.154299439082633e-05,0.005363691780834915,0.0018225562771446136,0.0024393086743105617,0.43414623043687417,888,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5279488357843137,0.9500123780557573,256
0.0001191515257607687,4.131494134958105e-05,0.003976700821371809,0.001507274337025215,0.0018800205157521387,0.4439314586348112,539,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5255106209150326,0.9471759111303586,256
0.00013705015845852717,-1.3295355046369172e-05,0.005926339338501025,0.0016087111464195899,0.002116803295084462,0.46758743665042646,479,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5398003472222221,0.9580434448842071,256
0.00014658991164017196,-1.8055841102650696e-05,0.005283988793240093,0.001778812911898807,0.0024458486709260405,0.4737559877770767,263,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5299734477124183,0.9416141327550581,256
0.0001360701808532456,1.9110133433015893e-05,0.0056157030567207675,0.0016710699756172231,0.0022367786356283195,0.46077600507525607,262,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5333460988562092,0.9530014339329148,256
0.00015276844816495262,-7.565168139264776e-05,0.0077275833184545185,0.0018674609940997741,0.002610480639451591,0.46701999840927966,694,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5282781862745098,0.9379940286479433,256
0.0001436746119804525,1.80021434348053e-05,0.008567688192523475,0.001631968518399539,0.002173879585486397,0.46238008983593715,465,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.52820414624183,0.9467739972567114,256
0.00013668430134694266,-8.499918864385896e-05,0.004824044861390009,0.0017538196226309635,0.0023863991321575835,0.4472417997614989,31,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5307291666666667,0.9426373726279033,256
0.00012798787047771894,3.416552971380275e-05,0.0037781001991472633,0.0015479687833351086,0.0020576058864229156,0.43687857355828985,655,atlas_B246,atlas_Brainnetome246Ext,sift_radius2_count_connectivity,0.15,0.5295649509803921,0.9398880261368283,256
