cis_mean,cis_median,cis_max,top50_mean,topdecile_mean,gini_abs_cis,subject,condition,atlas,variant,cost,e0,spearman_cis_degree,n_nodes
4.7950661483034126e-05,-2.7782088526183294e-05,0.007279802144142196,0.001192663749030028,0.001246452940497918,0.5065951189757841,258,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.549620043698991,0.945505259100847,456
6.144684779017104e-05,7.718684687861939e-06,0.005864521255871481,0.0012017822846451494,0.001256614204377788,0.48355878376011435,84,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.543735942420153,0.9390544589994998,456
5.765887113783126e-05,-2.5906114650695387e-06,0.006949809474093511,0.0011965511066818356,0.0012497508004094898,0.5149368343852128,820,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5477580168369642,0.9508585456178509,456
5.038015944374869e-05,-4.2794081780671553e-05,0.004745699941189489,0.0011634496678514536,0.0012160847218468504,0.46894153403371586,706,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5511414754835807,0.9337656137102851,456
5.691000363899687e-05,-1.461539305842497e-05,0.008988007006883821,0.0012377739986335027,0.0012945220661491938,0.5018229286969884,892,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.554219683824947,0.9611892620355624,456
5.251377675743136e-05,-3.1650984162946806e-05,0.00836803626856374,0.0012899944712950792,0.00134440655684503,0.4887231927412264,205,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5454943448364501,0.9446976535534206,456
5.367559835068009e-05,-7.819985009271459e-06,0.00526262926443329,0.0011883441312832757,0.0012416970885927032,0.4814352320528817,626,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5452903091060985,0.9313176115166779,456
5.560628235238055e-05,-4.9819086028529954e-05,0.006805872344495777,0.001307120760558182,0.0013660783592731004,0.47597691324657626,180,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5466583124477861,0.9477638913196859,456
5.892407936344306e-05,-2.3423600946071367e-05,0.0038426635746558442,0.0012795414194816817,0.0013289927994989158,0.48069539979513565,888,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5428129618919093,0.9682834854444404,456
5.342142779320338e-05,4.642807724734425e-06,0.0055882892926112,0.0011467066826185294,0.0011961408195019505,0.4713429192197035,539,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5464936379410064,0.9427157434149881,456
4.70957384779453e-05,-4.044480147284193e-05,0.006265290494659761,0.0011425169251599054,0.0011911794942760776,0.46712968796305854,479,weight_r2count,atlas_4S456Parcels,radius2_count_connectivity,0.15,0.5578690315532421,0.9739951880255414,456
