cis_mean,cis_median,cis_max,top50_mean,topdecile_mean,gini_abs_cis,subject,condition,atlas,variant,cost,e0,spearman_cis_degree,n_nodes
0.0006086977223839611,0.00102270777095205,0.015084250217598698,0.00405669547731703,0.00798417091776111,0.5429587785093661,258,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4769090454772613,0.9278270449999922,116
0.0005151137805392811,0.0010915260069468053,0.014492099598692673,0.0038842982432635525,0.007398747487225913,0.5416334853760717,84,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.46627936031984,0.9676788444292126,116
0.00048270213625439975,0.0007256766420596183,0.00971005132498205,0.003289218218253534,0.0060169109895274984,0.5014982279206147,820,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4860544727636181,0.9650851421666367,116
0.0005928460988746973,0.000346263307637387,0.014189872122235523,0.003298056371950499,0.0072449006492370715,0.5093253591929343,706,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4938755622188905,0.9384117282846726,116
0.0005955821254172458,0.0008505527989108193,0.015908367062231372,0.004196961336929143,0.008226734650172126,0.5416583154233712,892,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.47169665167416286,0.9555536508344679,116
0.0006612188900725483,0.0006319235356468879,0.0117991164485434,0.0035981865239228653,0.008246114627445377,0.4924857967584909,205,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4915692153923038,0.9049205153485392,116
0.0006711435794464549,0.0011579673670726873,0.013705434287158546,0.004039056769306747,0.008580779985864876,0.5309486392518954,626,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.47923788105947024,0.9517541555525734,116
0.0007838460828325688,0.000951581953310266,0.03571884124177405,0.004221586455930709,0.00982652641215224,0.5655402204103489,180,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.48767866066966514,0.9518941158433342,116
0.0005616999089164819,0.0008472825299159181,0.015536668159485028,0.0035657730671069116,0.007095303824571531,0.5089298446989603,888,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4862968515742129,0.9476336297893849,116
0.0006325454516243657,0.0009998225458751093,0.020099418125733886,0.0039878834615676255,0.007725492100492029,0.5132057278083205,539,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.48023988005997,0.9515958451317096,116
0.0006136967473116959,0.0010327568085549904,0.01860708528470255,0.004094060816142511,0.007774462284321601,0.5149176505821289,479,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4819890054972513,0.9567704428714802,116
0.0005135330682587083,0.0006550233440265333,0.012484974835477964,0.0037318406015785454,0.007480169088044449,0.560843404666245,263,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4690804597701149,0.9249507131353806,116
0.000673286159214233,0.0007994317151703522,0.01796332511407762,0.0039060494531968147,0.007935398239510736,0.5273325724663346,262,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4872188905547226,0.923092281313339,116
0.0005185735929669535,-8.773077208906711e-05,0.01337550059054986,0.003132899410226748,0.007241966353160067,0.5311351079240297,694,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4966866566716641,0.9349491565428507,116
0.0005667162403471267,0.0009709539272568343,0.01978871259064242,0.004229669311373675,0.008330445810246894,0.5414067260541512,465,atlas_AAL116,atlas_AAL116,sift_radius2_count_connectivity,0.15,0.4700024987506247,0.9656717470422694,116
