cis_mean,cis_median,cis_max,top50_mean,topdecile_mean,gini_abs_cis,subject,condition,atlas,variant,cost,e0,spearman_cis_degree,n_nodes
1.221773027456904e-05,-4.176242348347919e-05,0.0032620485446138705,0.0009446537160321554,0.0009796115955537621,0.475076565557634,258,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6212743396953924,0.9963606924014698,456
1.85947903735235e-05,-1.4119434046348073e-05,0.0029843120022682358,0.0008960972165209197,0.0009310525024667612,0.45892912292076277,84,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6175470728102307,0.9906522368584353,456
1.3542358158485664e-05,-1.1061968348375157e-05,0.0025734700014814873,0.0008571743650173605,0.0008946886283743908,0.46125928898798707,820,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6206060021849495,0.9954746011946428,456
1.102372685444197e-05,-6.039976853240879e-05,0.002429629398710427,0.000878511386005835,0.0009137335717359366,0.43742516788147817,706,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6211538461538462,0.9940761008439073,456
1.2963053861917728e-05,-6.083583380232591e-05,0.0038345020747548495,0.0009464224857713406,0.0009812431033854674,0.461219460945963,892,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6215876229034124,0.997302816320054,456
1.3795486349827638e-05,-5.095825491522085e-05,0.002994208429947482,0.0009627959534215143,0.0009926704983789177,0.43776566671207173,205,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6199922884133411,0.9947560354009553,456
1.5709548572045646e-05,-3.1898778016344084e-05,0.002352046632107639,0.0008872547455942773,0.0009190640824939719,0.45790880174758813,626,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6196886446886447,0.9900394214248072,456
1.623829344611018e-05,-5.098082146238688e-05,0.0030332104778487447,0.0010035263066632278,0.0010391515168943412,0.45455413667196287,180,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6199955015744489,0.9947112029661302,456
1.6016443731425932e-05,-3.82729121928847e-05,0.0026277120593406296,0.0008922988957243565,0.000920859708636787,0.43418972432284175,888,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6204083927768138,0.997474573948498,456
1.634775124391159e-05,-2.47766128211326e-05,0.002586806731005834,0.0008695110462666451,0.0009006975899535927,0.4575904237090523,539,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6175759912602018,0.9890797738860964,456
7.949648471139136e-06,-8.631046911451231e-05,0.002606576167262904,0.0009279756397332387,0.0009599975743006,0.4263144920690127,479,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6231990231990232,0.9987210048436125,456
1.734436652057536e-05,-4.7115911687730564e-05,0.0023526773676780604,0.000929780946647392,0.0009658709751861636,0.46186947637194864,263,cost_25,atlas_4S456Parcels,sift_radius2_count_connectivity,0.25,0.6196308077887025,0.99208225930158,456
